#            ACI         ACI+PT2         ACI
#Npar    Energy error  Energy error  Cumulant error
31752      0.000000      0.000000      0.000000
28540      0.000110      0.000010      0.009747
27292      0.000215      0.000015      0.013038
26194      0.000335      0.000036      0.017607
25373      0.000456      0.000056      0.023195
24633      0.000580      0.000081      0.032680
24077      0.000690      0.000090      0.037350
23473      0.000829      0.000129      0.042743
22989      0.000947      0.000147      0.046819
22564      0.001066      0.000166      0.054406
22088      0.001193      0.000193      0.061082
21708      0.001300      0.000201      0.064962
20975      0.001489      0.000289      0.069592
20579      0.001633      0.000334      0.075624
20211      0.001754      0.000354      0.080926
19840      0.001886      0.000386      0.085094
19444      0.002017      0.000417      0.088408
19104      0.002153      0.000454      0.091722
18853      0.002270      0.000470      0.094810
18523      0.002424      0.000525      0.105143
18286      0.002565      0.000566      0.111450
17854      0.002787      0.000687      0.118659
17549      0.002928      0.000728      0.124439
17249      0.003087      0.000788      0.129136
16988      0.003230      0.000831      0.131901
16622      0.003451      0.000951      0.137960
16356      0.003636      0.001037      0.143941
16038      0.003824      0.001124      0.149830
15684      0.004025      0.001225      0.154910
15369      0.004231      0.001331      0.162902
15069      0.004426      0.001426      0.166841
14588      0.004696      0.001597      0.172789
14278      0.004933      0.001733      0.192507
13912      0.005181      0.001882      0.200913
13661      0.005351      0.001952      0.206662
13465      0.005527      0.002029      0.212885
13291      0.005726      0.002127      0.219021
13014      0.005926      0.002227      0.228189
12801      0.006147      0.002348      0.237242
12400      0.006440      0.002541      0.246666
12147      0.006650      0.002651      0.253844
