#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
23428      0.000000      0.000000      0.000000
23248      0.000000      0.000002      0.000000
23068      0.000000      0.000005      0.001000
22958      0.000000      0.000008      0.001732
22848      0.000000      0.000011      0.002449
22668      0.000000      0.000016      0.001732
22478      0.000000      0.000022      0.002236
22288      0.000000      0.000028      0.003162
22108      0.000000      0.000038      0.003742
21928      0.000000      0.000050      0.005196
21828      0.000000      0.000071      0.008000
21798      0.000000      0.000092      0.010440
21608      0.000000      0.000102      0.011533
21418      0.000000      0.000112      0.011576
21228      0.000000      0.000124      0.012884
21108      0.000000      0.000136      0.014491
20928      0.000000      0.000154      0.016763
20748      0.000000      0.000171      0.019183
20698      0.000000      0.000182      0.020785
20508      0.000000      0.000194      0.022539
20388      0.000000      0.000211      0.024536
20258      0.000000      0.000217      0.025456
20148      0.000000      0.000257      0.028267
19968      0.000000      0.000294      0.032202
19788      0.000000      0.000338      0.036414
19598      0.000000      0.000367      0.039497
19488      0.000000      0.000421      0.042568
19378      0.000000      0.000464      0.047170
19188      0.000000      0.000498      0.050140
19138      0.000000      0.000527      0.053075
18958      0.000000      0.000579      0.057463
18778      0.000000      0.000646      0.064187
18588      0.000000      0.000693      0.066370
18468      0.000000      0.000738      0.069864
18278      0.000000      0.000784      0.072691
18168      0.000000      0.000847      0.077685
17978      0.000000      0.000904      0.082710
17788      0.000000      0.000975      0.086203
17658      0.000000      0.001005      0.088736
17468      0.000000      0.001066      0.093744
17278      0.000000      0.001135      0.099005
17168      0.000000      0.001269      0.115810
16988      0.000000      0.001390      0.122372
16888      0.000000      0.001561      0.138885
16758      0.000000      0.001590      0.141319
16638      0.000000      0.001664      0.148721
16448      0.000000      0.001761      0.155785
16258      0.000000      0.001861      0.163398
16138      0.000000      0.001983      0.168372
16008      0.000000      0.002030      0.172015
15808      0.000000      0.002089      0.176301
15618      0.000000      0.002201      0.185871
15428      0.000000      0.002340      0.190263
15238      0.000000      0.002465      0.198744
15118      0.000000      0.002618      0.195159
14988      0.000000      0.002686      0.199970
14808      0.000000      0.002913      0.215873
14678      0.000000      0.002985      0.220325
14578      0.000000      0.003414      0.248918
14458      0.000000      0.003539      0.259210
14268      0.000000      0.003710      0.271140
14238      0.000000      0.004205      0.281748
14038      0.000000      0.004312      0.287334
13848      0.000000      0.004487      0.299475
13608      0.000000      0.004854      0.312955
13286      0.000000      0.005075      0.326490
12998      0.000000      0.005159      0.337159
12674      0.000870      0.005520      0.355035
12390      0.001280      0.005738      0.373326
12060      0.001619      0.005940      0.388891
11718      0.001868      0.006134      0.400692
11414      0.002270      0.006481      0.423327
11296      0.002961      0.007103      0.433203
11006      0.003232      0.007300      0.443991
10720      0.003378      0.007455      0.453038
10292      0.003688      0.007741      0.472589
10080      0.004291      0.008661      0.470165
 9732      0.004605      0.008639      0.510252
 9200      0.004673      0.008495      0.532042
 9308      0.005341      0.009828      0.511678
 9094      0.005673      0.010223      0.536077
 8746      0.007001      0.010636      0.559151
 8382      0.007378      0.011564      0.585669
 8154      0.007806      0.012056      0.622540
 7938      0.008241      0.012458      0.638242
 7714      0.008514      0.012934      0.667145
 7460      0.008888      0.013547      0.708541
 7116      0.009401      0.014017      0.768564
 6784      0.009974      0.014432      0.793483
 6522      0.010330      0.014803      0.817502
 6242      0.010932      0.015490      0.844110
 6012      0.011509      0.016381      0.886706
 5668      0.012341      0.016956      0.916897
 5500      0.012847      0.017650      0.971098
 5274      0.013506      0.018996      0.995667
 5046      0.014500      0.019557      1.040815
 4734      0.015454      0.020180      1.085579
 4518      0.016046      0.021323      1.094377
 4218      0.017415      0.021787      1.160573
 4058      0.018424      0.023467      1.165442
 3780      0.019606      0.024358      1.202938
 3702      0.021870      0.026805      1.272936
 3496      0.025042      0.028874      1.356849
 3342      0.028148      0.031632      1.419280
 3150      0.029622      0.032728      1.488331
 2972      0.032073      0.035031      1.583606
 2695      0.032805      0.036101      1.617586
 2550      0.034309      0.037412      1.702434
 2526      0.042721      0.045296      1.652741
 2234      0.039030      0.042231      1.842803
 2020      0.040740      0.043949      1.914656
 1844      0.047764      0.050413      1.921410
 1652      0.046660      0.048683      2.063358
 1458      0.049720      0.052528      2.130964
 1298      0.058549      0.060461      2.065717
 1067      0.056928      0.059538      2.267529
 1002      0.070364      0.073622      2.367014
  852      0.075654      0.079429      2.073982
  720      0.089877      0.091796      2.301704
  598      0.096959      0.101738      2.053580
  448      0.108401      0.112012      2.245587
  334      0.135966      0.143932      2.434412
