#          SVD-FCI       SVD-FCI
#Npar    Energy error  Cumulant error
63504      0.000000      0.000000
42840      0.000037      0.007141
39816      0.000080      0.011091
37800      0.000119      0.014799
36288      0.000146      0.018655
35280      0.000201      0.019494
34272      0.000247      0.020833
33768      0.000276      0.021703
33012      0.000325      0.022891
32508      0.000354      0.024021
32256      0.000376      0.024718
31752      0.000451      0.025942
31500      0.000490      0.026401
30996      0.000541      0.030216
30744      0.000545      0.033362
30240      0.000547      0.038923
29988      0.000580      0.039636
29736      0.000618      0.040286
29232      0.000664      0.041785
28980      0.000683      0.042650
28728      0.000722      0.044193
28476      0.000747      0.045848
28224      0.000803      0.046562
27972      0.000860      0.047360
27720      0.000900      0.049406
27468      0.000946      0.050398
27468      0.000946      0.050398
27216      0.000953      0.053749
26964      0.000977      0.056027
26712      0.001032      0.057009
26460      0.001086      0.058164
26208      0.001152      0.059313
26208      0.001152      0.059313
25956      0.001196      0.060241
25704      0.001239      0.061254
25704      0.001239      0.061254
25452      0.001305      0.062610
25200      0.001358      0.063992
25200      0.001358      0.063992
24948      0.001415      0.065475
24948      0.001415      0.065475
24696      0.001497      0.066836
24444      0.001585      0.068315
24444      0.001585      0.068315
24192      0.001674      0.069764
24192      0.001674      0.069764
23940      0.001756      0.071526
23940      0.001756      0.071526
23688      0.001819      0.073123
23688      0.001819      0.073123
23436      0.001882      0.074840
23436      0.001882      0.074840
23184      0.001977      0.076603
23184      0.001977      0.076603
22932      0.002037      0.078886
22932      0.002037      0.078886
22932      0.002037      0.078886
22680      0.002144      0.080293
22680      0.002144      0.080293
22428      0.002202      0.082432
22428      0.002202      0.082432
22176      0.002306      0.083666
22176      0.002306      0.083666
22176      0.002306      0.083666
21924      0.002424      0.085364
21924      0.002424      0.085364
21672      0.002504      0.087103
21672      0.002504      0.087103
21672      0.002504      0.087103
21420      0.002588      0.088668
21420      0.002588      0.088668
21420      0.002588      0.088668
21168      0.002695      0.090576
21168      0.002695      0.090576
21168      0.002695      0.090576
20916      0.002802      0.092903
20916      0.002802      0.092903
20916      0.002802      0.092903
20664      0.002900      0.094979
20664      0.002900      0.094979
20664      0.002900      0.094979
20412      0.003037      0.096488
20412      0.003037      0.096488
20412      0.003037      0.096488
20160      0.003155      0.099020
20160      0.003155      0.099020
20160      0.003155      0.099020
20160      0.003155      0.099020
19908      0.003311      0.101010
19908      0.003311      0.101010
19908      0.003311      0.101010
19656      0.003409      0.103238
19656      0.003409      0.103238
19656      0.003409      0.103238
19656      0.003409      0.103238
19404      0.003545      0.105575
19404      0.003545      0.105575
19404      0.003545      0.105575
19404      0.003545      0.105575
19152      0.003673      0.108586
19152      0.003673      0.108586
19152      0.003673      0.108586
19152      0.003673      0.108586
18900      0.003749      0.111396
18900      0.003749      0.111396
18900      0.003749      0.111396
18900      0.003749      0.111396
18648      0.003834      0.114717
18648      0.003834      0.114717
18648      0.003834      0.114717
18648      0.003834      0.114717
18396      0.003919      0.117771
18396      0.003919      0.117771
18396      0.003919      0.117771
18396      0.003919      0.117771
18396      0.003919      0.117771
18144      0.004099      0.120474
18144      0.004099      0.120474
18144      0.004099      0.120474
18144      0.004099      0.120474
18144      0.004099      0.120474
17892      0.004197      0.124105
17892      0.004197      0.124105
17892      0.004197      0.124105
17892      0.004197      0.124105
17892      0.004197      0.124105
17892      0.004197      0.124105
17640      0.004361      0.127201
17640      0.004361      0.127201
17640      0.004361      0.127201
17640      0.004361      0.127201
17640      0.004361      0.127201
17640      0.004361      0.127201
17640      0.004361      0.127201
17388      0.004693      0.130346
17388      0.004693      0.130346
17388      0.004693      0.130346
17388      0.004693      0.130346
17388      0.004693      0.130346
17388      0.004693      0.130346
17388      0.004693      0.130346
17388      0.004693      0.130346
17136      0.005010      0.135085
17136      0.005010      0.135085
17136      0.005010      0.135085
17136      0.005010      0.135085
17136      0.005010      0.135085
17136      0.005010      0.135085
17136      0.005010      0.135085
17136      0.005010      0.135085
17136      0.005010      0.135085
16884      0.005327      0.139957
16884      0.005327      0.139957
16884      0.005327      0.139957
16884      0.005327      0.139957
16884      0.005327      0.139957
16884      0.005327      0.139957
16884      0.005327      0.139957
16884      0.005327      0.139957
16632      0.005496      0.145485
16632      0.005496      0.145485
16632      0.005496      0.145485
16632      0.005496      0.145485
16632      0.005496      0.145485
16632      0.005496      0.145485
16632      0.005496      0.145485
16632      0.005496      0.145485
16632      0.005496      0.145485
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16380      0.005641      0.151423
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
16128      0.006030      0.157105
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15876      0.006444      0.160860
15624      0.006819      0.167305
