#           ap-sCI        ap-sCI
#Npar    Energy error  Cumulant error
31746      0.000000      0.000000
25982      0.000065      0.001414
24598      0.000128      0.002000
23622      0.000190      0.002449
22860      0.000250      0.003000
22230      0.000311      0.003464
21694      0.000371      0.004123
21222      0.000430      0.004583
20796      0.000488      0.005000
20410      0.000546      0.005568
20058      0.000604      0.006083
19730      0.000661      0.006557
19430      0.000721      0.007000
19148      0.000776      0.007616
18884      0.000832      0.008124
18636      0.000888      0.008660
18402      0.000946      0.009220
18176      0.001004      0.009644
17964      0.001059      0.010198
17762      0.001113      0.010630
17568      0.001169      0.011091
17384      0.001221      0.011533
17205      0.001274      0.012042
17033      0.001330      0.012530
16865      0.001383      0.013077
16703      0.001436      0.013454
16547      0.001491      0.013856
16395      0.001542      0.014353
16249      0.001593      0.014765
16107      0.001642      0.015199
15969      0.001692      0.015652
15837      0.001744      0.016062
15707      0.001796      0.016523
15583      0.001844      0.016941
15459      0.001894      0.017436
15341      0.001948      0.017861
15223      0.001999      0.018330
15109      0.002053      0.018735
14998      0.002103      0.019157
14888      0.002156      0.019545
14782      0.002207      0.019950
14676      0.002256      0.020518
14574      0.002311      0.020881
14474      0.002364      0.021284
14376      0.002413      0.021679
14278      0.002463      0.022159
14184      0.002513      0.022605
14090      0.002564      0.023000
13999      0.002613      0.023473
13909      0.002663      0.023896
13822      0.002713      0.024352
13736      0.002763      0.024698
13652      0.002813      0.025100
13568      0.002859      0.025554
13488      0.002909      0.026058
13408      0.002957      0.026458
13332      0.003005      0.026870
13255      0.003060      0.027313
13180      0.003108      0.027731
13108      0.003154      0.028089
13037      0.003206      0.028478
12965      0.003251      0.028896
12895      0.003299      0.029292
12827      0.003345      0.029682
12760      0.003394      0.030100
12693      0.003444      0.030480
12627      0.003487      0.031016
12563      0.003531      0.031353
12500      0.003583      0.031718
12436      0.003632      0.032202
12374      0.003680      0.032573
12314      0.003732      0.033030
12255      0.003782      0.033407
12196      0.003837      0.033941
12138      0.003883      0.034409
12079      0.003933      0.034914
12023      0.003982      0.035313
11967      0.004029      0.035693
11913      0.004079      0.036028
11859      0.004131      0.036455
11807      0.004178      0.036797
11753      0.004221      0.037068
11701      0.004271      0.037483
11651      0.004316      0.037921
11600      0.004366      0.038236
11550      0.004417      0.038626
11500      0.004465      0.039051
11451      0.004510      0.039408
11401      0.004557      0.039825
11353      0.004604      0.040249
11305      0.004646      0.040632
11257      0.004694      0.041158
11211      0.004739      0.041557
11165      0.004782      0.041952
11119      0.004834      0.042261
11073      0.004879      0.042685
11029      0.004926      0.043070
10985      0.004983      0.043474
10941      0.005028      0.043886
10897      0.005082      0.044340
10855      0.005122      0.044710
10813      0.005168      0.045044
10770      0.005211      0.045475
10728      0.005258      0.045815
10687      0.005303      0.046174
10647      0.005351      0.046487
10607      0.005396      0.046787
10567      0.005445      0.047127
10527      0.005488      0.047487
10487      0.005534      0.047864
10448      0.005577      0.048239
10410      0.005628      0.048590
10371      0.005670      0.048939
10333      0.005719      0.049356
10295      0.005764      0.049739
10259      0.005802      0.050070
10221      0.005848      0.050527
10184      0.005894      0.050941
10148      0.005936      0.051264
10113      0.005977      0.051595
10077      0.006022      0.051933
10041      0.006069      0.052316
10005      0.006116      0.052716
 9971      0.006157      0.053104
 9936      0.006197      0.053395
 9902      0.006237      0.053805
 9868      0.006284      0.054139
 9834      0.006329      0.054507
 9800      0.006372      0.054945
 9767      0.006406      0.055362
 9733      0.006452      0.055749
 9701      0.006490      0.056089
 9669      0.006531      0.056454
 9637      0.006580      0.056877
 9605      0.006626      0.057193
 9572      0.006669      0.057559
 9542      0.006707      0.057983
 9510      0.006746      0.058344
 9480      0.006788      0.058652
 9448      0.006829      0.059017
 9418      0.006873      0.059355
 9388      0.006915      0.059808
 9357      0.006961      0.060200
 9329      0.007004      0.060490
 9299      0.007051      0.060787
 9270      0.007089      0.061106
 9240      0.007129      0.061522
 9212      0.007165      0.061830
 9184      0.007200      0.062241
 9154      0.007250      0.062857
 9126      0.007286      0.063246
 9098      0.007327      0.063592
 9070      0.007370      0.063961
 9043      0.007413      0.064296
 9015      0.007462      0.064645
 8989      0.007503      0.065023
 8961      0.007544      0.065719
 8935      0.007584      0.066045
 8909      0.007626      0.066385
 8881      0.007664      0.066738
 8855      0.007701      0.067119
 8829      0.007745      0.067454
 8802      0.007788      0.067809
 8776      0.007837      0.068176
 8750      0.007881      0.068600
 8724      0.007922      0.068942
 8700      0.007963      0.069268
 8674      0.008014      0.069656
 8648      0.008061      0.070057
 8624      0.008101      0.070548
 8599      0.008141      0.070951
 8574      0.008189      0.071323
 8550      0.008229      0.071687
 8527      0.008265      0.072083
 8503      0.008311      0.072346
 8478      0.008359      0.072677
 8454      0.008395      0.073198
 8432      0.008440      0.073526
 8407      0.008482      0.073851
 8385      0.008522      0.074216
 8361      0.008566      0.074505
 8339      0.008614      0.074847
 8316      0.008651      0.075206
 8293      0.008690      0.075518
 8269      0.008736      0.075875
 8247      0.008775      0.076138
 8224      0.008822      0.076433
 8202      0.008869      0.076707
 8180      0.008903      0.077039
 8158      0.008939      0.077369
 8136      0.008983      0.077705
 8114      0.009030      0.078045
 8094      0.009064      0.078313
 8072      0.009106      0.078664
 8050      0.009142      0.078949
 8028      0.009182      0.079265
 8008      0.009221      0.079536
 7986      0.009256      0.079925
 7966      0.009300      0.080206
 7945      0.009338      0.080461
