#            ACI         ACI+PT2         ACI
#Npar    Energy error  Energy error  Cumulant error
63504      0.000000      0.000000      0.000000
33940      0.000135      0.000035      0.024698
31376      0.000267      0.000067      0.036959
29344      0.000416      0.000116      0.049254
28402      0.000549      0.000149      0.056276
27458      0.000690      0.000191      0.063585
26752      0.000822      0.000223      0.068301
26008      0.000962      0.000263      0.074626
25476      0.001101      0.000301      0.080025
24928      0.001226      0.000326      0.085750
24464      0.001377      0.000378      0.089398
24060      0.001510      0.000411      0.094589
23562      0.001687      0.000488      0.100095
23088      0.001847      0.000548      0.106480
22572      0.002043      0.000644      0.113574
22312      0.002170      0.000670      0.117444
22028      0.002315      0.000715      0.121532
21736      0.002483      0.000783      0.126649
21492      0.002615      0.000815      0.132242
21220      0.002799      0.000900      0.137499
20900      0.002930      0.000931      0.143304
20564      0.003077      0.000977      0.149533
20264      0.003263      0.001064      0.156122
20016      0.003432      0.001132      0.163046
19600      0.003609      0.001210      0.170423
19440      0.003724      0.001225      0.175476
19240      0.003888      0.001288      0.180044
19098      0.004011      0.001312      0.182945
18960      0.004133      0.001333      0.185806
18840      0.004282      0.001384      0.190376
18744      0.004427      0.001428      0.192699
18644      0.004573      0.001475      0.194641
18588      0.004663      0.001463      0.195717
18472      0.004788      0.001490      0.198086
18360      0.004909      0.001509      0.199640
18164      0.005114      0.001616      0.204137
18008      0.005269      0.001671      0.206177
17920      0.005381      0.001684      0.207769
17812      0.005499      0.001701      0.210093
17720      0.005626      0.001729      0.212899
17434      0.005925      0.001927      0.218872
