#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
 2584      0.000000      0.000000      0.000000
 2392      0.000000      0.000000      0.001000
 2226      0.000000      0.000000      0.001000
 1940      0.000000      0.000000      0.001414
 1726      0.000000      0.000001      0.001732
 1554      0.000001      0.000001      0.002000
 1301      0.000001      0.000001      0.002646
 1100      0.000001      0.000002      0.004000
  896      0.000002      0.000004      0.005568
  776      0.000005      0.000008      0.008426
  572      0.000026      0.000034      0.016310
  464      0.000080      0.000106      0.038872
  376      0.000143      0.000184      0.061311
  276      0.000486      0.000634      0.131366
  176      0.001401      0.001814      0.218868
   94      0.005040      0.006021      0.522469
   28      0.317786      0.644243      5.483809
