#          SVD-FCI       SVD-FCI
#Npar    Energy error  Cumulant error
127008     0.000000      0.000000
85680      0.000037      0.007141
79632      0.000080      0.011091
75600      0.000119      0.014799
72576      0.000146      0.018655
70560      0.000201      0.019494
68544      0.000247      0.020833
67536      0.000276      0.021703
66024      0.000325      0.022891
65016      0.000354      0.024042
64512      0.000376      0.024739
63504      0.000451      0.025942
63000      0.000490      0.026401
61992      0.000541      0.030232
61488      0.000545      0.033362
60480      0.000547      0.038936
59976      0.000580      0.039636
59472      0.000618      0.040299
58464      0.000664      0.041785
57960      0.000683      0.042661
57456      0.000722      0.044204
56952      0.000747      0.045858
56448      0.000803      0.046573
55944      0.000860      0.047371
55440      0.000900      0.049406
54936      0.000946      0.050398
54936      0.000946      0.050398
54432      0.000954      0.053740
53928      0.000977      0.056027
53424      0.001032      0.057018
52920      0.001086      0.058172
52416      0.001152      0.059321
52416      0.001152      0.059321
51912      0.001196      0.060249
51408      0.001239      0.061262
51408      0.001239      0.061262
50904      0.001304      0.062618
50400      0.001358      0.064000
50400      0.001358      0.064000
49896      0.001415      0.065483
49896      0.001415      0.065483
49392      0.001497      0.066843
48888      0.001585      0.068315
48888      0.001585      0.068315
48384      0.001674      0.069771
48384      0.001674      0.069771
47880      0.001756      0.071533
47880      0.001756      0.071533
47376      0.001819      0.073130
47376      0.001819      0.073130
46872      0.001882      0.074847
46872      0.001882      0.074847
46368      0.001977      0.076616
46368      0.001977      0.076616
45864      0.002037      0.078892
45864      0.002037      0.078892
45864      0.002037      0.078892
45360      0.002143      0.080299
45360      0.002143      0.080299
44856      0.002202      0.082438
44856      0.002202      0.082438
44352      0.002306      0.083672
44352      0.002306      0.083672
44352      0.002306      0.083672
43848      0.002424      0.085370
43848      0.002424      0.085370
43344      0.002504      0.087109
43344      0.002504      0.087109
43344      0.002504      0.087109
42840      0.002587      0.088674
42840      0.002587      0.088674
42840      0.002587      0.088674
42336      0.002695      0.090581
42336      0.002695      0.090581
42336      0.002695      0.090581
41832      0.002802      0.092909
41832      0.002802      0.092909
41832      0.002802      0.092909
41328      0.002900      0.094984
41328      0.002900      0.094984
41328      0.002900      0.094984
40824      0.003037      0.096499
40824      0.003037      0.096499
40824      0.003037      0.096499
40320      0.003155      0.099025
40320      0.003155      0.099025
40320      0.003155      0.099025
40320      0.003155      0.099025
39816      0.003311      0.101015
39816      0.003311      0.101015
39816      0.003311      0.101015
39312      0.003409      0.103247
39312      0.003409      0.103247
39312      0.003409      0.103247
39312      0.003409      0.103247
38808      0.003545      0.105579
38808      0.003545      0.105579
38808      0.003545      0.105579
38808      0.003545      0.105579
38304      0.003672      0.108596
38304      0.003672      0.108596
38304      0.003672      0.108596
38304      0.003672      0.108596
37800      0.003749      0.111400
37800      0.003749      0.111400
37800      0.003749      0.111400
37800      0.003749      0.111400
37296      0.003834      0.114721
37296      0.003834      0.114721
37296      0.003834      0.114721
37296      0.003834      0.114721
36792      0.003919      0.117775
36792      0.003919      0.117775
36792      0.003919      0.117775
36792      0.003919      0.117775
36792      0.003919      0.117775
36288      0.004099      0.120482
36288      0.004099      0.120482
36288      0.004099      0.120482
36288      0.004099      0.120482
36288      0.004099      0.120482
35784      0.004196      0.124113
35784      0.004196      0.124113
35784      0.004196      0.124113
35784      0.004196      0.124113
35784      0.004196      0.124113
35784      0.004196      0.124113
35280      0.004361      0.127205
35280      0.004361      0.127205
35280      0.004361      0.127205
35280      0.004361      0.127205
35280      0.004361      0.127205
35280      0.004361      0.127205
35280      0.004361      0.127205
34776      0.004693      0.130353
34776      0.004693      0.130353
34776      0.004693      0.130353
34776      0.004693      0.130353
34776      0.004693      0.130353
34776      0.004693      0.130353
34776      0.004693      0.130353
34776      0.004693      0.130353
34272      0.005010      0.135093
34272      0.005010      0.135093
34272      0.005010      0.135093
34272      0.005010      0.135093
34272      0.005010      0.135093
34272      0.005010      0.135093
34272      0.005010      0.135093
34272      0.005010      0.135093
34272      0.005010      0.135093
33768      0.005327      0.139964
33768      0.005327      0.139964
33768      0.005327      0.139964
33768      0.005327      0.139964
33768      0.005327      0.139964
33768      0.005327      0.139964
33768      0.005327      0.139964
33768      0.005327      0.139964
33264      0.005496      0.145492
33264      0.005496      0.145492
33264      0.005496      0.145492
33264      0.005496      0.145492
33264      0.005496      0.145492
33264      0.005496      0.145492
33264      0.005496      0.145492
33264      0.005496      0.145492
33264      0.005496      0.145492
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32760      0.005641      0.151430
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
32256      0.006030      0.157115
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31752      0.006444      0.160870
31248      0.006819      0.167314
