#           ap-sCI        ap-sCI
#Npar    Energy error  Cumulant error
60590      0.000000      0.000000
32686      0.000047      0.008000
30236      0.000090      0.011916
28762      0.000132      0.015033
27708      0.000174      0.017607
26884      0.000214      0.019774
26196      0.000254      0.021909
25602      0.000297      0.023707
25086      0.000337      0.025573
24628      0.000374      0.027495
24216      0.000412      0.029360
23840      0.000453      0.031016
23494      0.000490      0.032726
23174      0.000529      0.034103
22876      0.000568      0.035679
22602      0.000608      0.037000
22346      0.000648      0.038275
22106      0.000685      0.039446
21880      0.000722      0.040963
21664      0.000759      0.042237
21460      0.000795      0.043255
21266      0.000829      0.044430
21082      0.000870      0.045530
20904      0.000905      0.046680
20738      0.000944      0.047603
20578      0.000980      0.048570
20424      0.001017      0.049457
20274      0.001053      0.050379
20130      0.001086      0.051108
19992      0.001122      0.052010
19856      0.001163      0.052792
19726      0.001201      0.053824
19600      0.001239      0.054562
19478      0.001281      0.055371
19358      0.001318      0.056214
19240      0.001355      0.057044
19128      0.001390      0.057801
19018      0.001426      0.058549
18912      0.001464      0.059548
18808      0.001505      0.060316
18708      0.001540      0.061033
18608      0.001579      0.061774
18510      0.001616      0.062642
18416      0.001649      0.063419
18324      0.001687      0.064179
18234      0.001729      0.064746
18146      0.001764      0.065590
18060      0.001808      0.066083
17976      0.001849      0.066641
17894      0.001884      0.067328
17814      0.001922      0.067978
17734      0.001962      0.068535
17656      0.001995      0.069340
17580      0.002033      0.070321
17504      0.002069      0.070824
17430      0.002113      0.071435
17358      0.002149      0.072319
17286      0.002191      0.073096
17214      0.002225      0.074054
17144      0.002258      0.074626
17076      0.002289      0.075617
17008      0.002320      0.076479
16940      0.002353      0.077130
16874      0.002386      0.077775
16810      0.002428      0.078365
16744      0.002468      0.078937
16680      0.002512      0.079328
16618      0.002544      0.080131
16556      0.002581      0.080635
16494      0.002619      0.081222
16434      0.002658      0.081670
16376      0.002692      0.082171
16316      0.002732      0.082662
16260      0.002775      0.083241
16202      0.002814      0.083803
16146      0.002846      0.084439
16092      0.002881      0.085147
16038      0.002917      0.085691
15986      0.002951      0.086157
15934      0.002988      0.086718
15882      0.003027      0.087253
15830      0.003061      0.087801
15780      0.003098      0.088306
15730      0.003127      0.089174
15680      0.003161      0.089844
15632      0.003196      0.090438
15584      0.003233      0.091000
15536      0.003267      0.091668
15488      0.003304      0.092109
15442      0.003340      0.092693
15396      0.003374      0.093048
15350      0.003406      0.093595
15304      0.003442      0.094032
15260      0.003483      0.094345
15214      0.003516      0.094916
15170      0.003550      0.095410
15128      0.003587      0.095833
15084      0.003626      0.096390
15042      0.003664      0.097422
15000      0.003703      0.097785
14958      0.003746      0.098219
14916      0.003784      0.098656
14876      0.003821      0.099050
14836      0.003854      0.099514
14796      0.003887      0.100025
14756      0.003919      0.100573
14718      0.003952      0.101129
14680      0.003987      0.101469
14640      0.004023      0.102064
14602      0.004058      0.103281
14566      0.004086      0.103856
14528      0.004115      0.104417
14490      0.004155      0.104909
14454      0.004191      0.105357
14418      0.004224      0.106000
14382      0.004262      0.106504
14346      0.004296      0.106860
14310      0.004331      0.107149
14276      0.004363      0.107615
14240      0.004403      0.107991
14206      0.004443      0.108393
14172      0.004473      0.108835
14138      0.004508      0.109334
14104      0.004545      0.109736
14070      0.004577      0.110195
14038      0.004603      0.111203
14006      0.004630      0.111750
13974      0.004665      0.112089
13942      0.004697      0.112721
13910      0.004741      0.113102
13878      0.004775      0.113490
13846      0.004813      0.113877
13816      0.004839      0.114184
13784      0.004878      0.114582
13754      0.004907      0.114978
13724      0.004944      0.115473
13692      0.004974      0.116417
13662      0.005003      0.117128
13634      0.005040      0.117682
13604      0.005082      0.118148
13574      0.005113      0.118647
13546      0.005145      0.118945
13516      0.005181      0.119218
13488      0.005209      0.119629
13460      0.005241      0.120308
13432      0.005278      0.120760
13404      0.005315      0.121149
13376      0.005348      0.121557
13348      0.005386      0.121861
13320      0.005422      0.122217
13294      0.005455      0.122528
13266      0.005500      0.122854
13240      0.005533      0.123207
13212      0.005579      0.123572
13186      0.005619      0.123980
13160      0.005657      0.124274
13134      0.005692      0.124660
13108      0.005729      0.124916
13082      0.005763      0.125591
13056      0.005792      0.126024
13030      0.005820      0.126539
13004      0.005858      0.126921
12980      0.005899      0.127236
12954      0.005932      0.127636
12928      0.005963      0.128082
12904      0.005995      0.128382
12878      0.006024      0.128953
12854      0.006043      0.129634
12830      0.006065      0.130261
12806      0.006097      0.130694
12782      0.006125      0.131320
12758      0.006154      0.131742
12734      0.006192      0.132098
12710      0.006229      0.132348
12686      0.006258      0.132793
12662      0.006293      0.133113
12640      0.006329      0.133390
12616      0.006375      0.133780
12594      0.006404      0.134198
12570      0.006433      0.134722
12548      0.006459      0.134996
12526      0.006487      0.135599
12502      0.006521      0.135923
12480      0.006542      0.136261
12458      0.006569      0.136620
12436      0.006608      0.136949
12414      0.006643      0.137361
12392      0.006685      0.137706
12370      0.006725      0.137844
12348      0.006757      0.138145
12328      0.006786      0.138784
12306      0.006831      0.139090
12284      0.006862      0.139442
12264      0.006892      0.140057
12242      0.006935      0.140321
12222      0.006963      0.140663
12202      0.006993      0.140954
12182      0.007026      0.141262
12162      0.007057      0.141732
12140      0.007098      0.142106
