#            ACI         ACI+PT2         ACI
#Npar    Energy error  Energy error  Cumulant error
15912      0.000000      0.000000      0.000000
14050      0.000111      0.000013      0.006245
13515      0.000216      0.000017      0.011269
13066      0.000315      0.000015      0.015906
12556      0.000458      0.000058      0.021886
12148      0.000593      0.000094      0.027166
11794      0.000713      0.000114      0.032496
11486      0.000840      0.000141      0.038872
11056      0.001022      0.000222      0.045596
10572      0.001226      0.000326      0.053423
10359      0.001344      0.000345      0.057088
10161      0.001454      0.000354      0.060407
 9960      0.001575      0.000376      0.064614
 9744      0.001722      0.000422      0.070157
 9575      0.001860      0.000461      0.073993
 9414      0.001989      0.000489      0.079215
 9164      0.002159      0.000560      0.083253
 8912      0.002355      0.000656      0.089269
 8718      0.002521      0.000722      0.094149
 8532      0.002681      0.000782      0.099393
 8239      0.002895      0.000896      0.104805
 7895      0.003185      0.001086      0.114145
 7660      0.003450      0.001251      0.124000
 7498      0.003661      0.001361      0.129634
 7398      0.003782      0.001383      0.133484
 7066      0.004077      0.001577      0.141764
 6880      0.004288      0.001688      0.148125
 6761      0.004456      0.001757      0.152502
 6600      0.004680      0.001881      0.162595
 6508      0.004826      0.001927      0.167299
 6359      0.005024      0.002026      0.174172
 6231      0.005181      0.002082      0.178748
 6085      0.005432      0.002232      0.185882
 5696      0.005886      0.002587      0.199972
 5249      0.006498      0.003101      0.217869
 5161      0.006654      0.003155      0.222610
 5055      0.006810      0.003210      0.227849
 4804      0.007086      0.003389      0.236358
 4736      0.007221      0.003425      0.240200
 4669      0.007382      0.003484      0.244583
 4601      0.007520      0.003520      0.249020
