#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
 9203      0.000000      0.000000      0.000000
 9137      0.000000      0.000001      0.000000
 9119      0.000000      0.000001      0.000000
 9047      0.000000      0.000002      0.000000
 8999      0.000000      0.000002      0.000000
 8953      0.000000      0.000003      0.000000
 8864      0.000000      0.000004      0.000000
 8820      0.000000      0.000004      0.000000
 8756      0.000000      0.000005      0.000000
 8740      0.000000      0.000006      0.001000
 8664      0.000000      0.000008      0.001000
 8608      0.000000      0.000009      0.001000
 8532      0.000000      0.000011      0.001000
 8461      0.000000      0.000012      0.001414
 8397      0.000000      0.000015      0.001414
 8367      0.000000      0.000019      0.001732
 8315      0.000000      0.000021      0.001732
 8261      0.000000      0.000024      0.002000
 8178      0.000000      0.000026      0.002236
 8114      0.000000      0.000030      0.002449
 8072      0.000000      0.000034      0.002828
 8006      0.000000      0.000039      0.003000
 7962      0.000000      0.000042      0.003317
 7910      0.000000      0.000045      0.003606
 7827      0.000000      0.000049      0.004123
 7814      0.000000      0.000052      0.004472
 7768      0.000000      0.000057      0.004796
 7676      0.000000      0.000060      0.005000
 7620      0.000000      0.000071      0.005657
 7558      0.000000      0.000076      0.006083
 7457      0.000000      0.000081      0.006557
 7415      0.000000      0.000091      0.007000
 7375      0.000000      0.000106      0.007746
 7300      0.000000      0.000119      0.008544
 7254      0.000000      0.000128      0.009110
 7218      0.000000      0.000141      0.009899
 7190      0.000000      0.000159      0.010863
 7126      0.000000      0.000172      0.011916
 7016      0.000000      0.000184      0.012806
 6915      0.000000      0.000193      0.013528
 6853      0.000000      0.000202      0.014318
 6807      0.000000      0.000218      0.015033
 6771      0.000000      0.000240      0.016371
 6735      0.000000      0.000260      0.017861
 6655      0.000000      0.000268      0.018466
 6572      0.000000      0.000284      0.019723
 6492      0.000000      0.000293      0.020224
 6444      0.000000      0.000320      0.021794
 6380      0.000000      0.000347      0.023173
 6298      0.000000      0.000371      0.024454
 6260      0.000000      0.000383      0.025515
 6255      0.000000      0.000393      0.026514
 6145      0.000000      0.000417      0.028000
 6107      0.000000      0.000455      0.029917
 6053      0.000000      0.000495      0.031749
 5942      0.000000      0.000532      0.033226
 5806      0.000000      0.000579      0.034771
 5732      0.000000      0.000647      0.037376
 5396      0.000114      0.000855      0.046444
 5296      0.000152      0.000907      0.049629
 5186      0.000188      0.000976      0.052106
 5027      0.000235      0.001040      0.054378
 4974      0.000268      0.001133      0.059313
 4817      0.000308      0.001194      0.062642
 4710      0.000389      0.001301      0.069094
 4599      0.000445      0.001371      0.072863
 4498      0.000494      0.001478      0.077188
 4408      0.000617      0.001673      0.081951
 4267      0.000662      0.001746      0.085732
 4165      0.000757      0.001851      0.091055
 4092      0.000895      0.002077      0.091951
 4034      0.001100      0.002385      0.098367
 3919      0.001144      0.002572      0.104254
 3800      0.001296      0.002697      0.111009
 3710      0.001533      0.002829      0.117784
 3598      0.001575      0.003026      0.126649
 3517      0.001770      0.003249      0.136715
 3429      0.002002      0.003402      0.142362
 3339      0.002260      0.003738      0.151278
 3225      0.002388      0.003863      0.157915
 3147      0.002495      0.004138      0.164739
 3036      0.002785      0.004460      0.181780
 2882      0.003031      0.004692      0.191337
 2744      0.003307      0.005058      0.205156
 2631      0.003574      0.005427      0.208485
 2533      0.003967      0.005944      0.224944
 2449      0.004139      0.006216      0.236595
 2369      0.004662      0.006692      0.250482
 2280      0.005099      0.007191      0.265840
 2143      0.005650      0.007913      0.273615
 2048      0.006107      0.008571      0.295704
 1945      0.006399      0.009176      0.303399
 1814      0.007040      0.010045      0.318053
 1703      0.007338      0.010329      0.346511
 1649      0.008003      0.011296      0.362934
 1553      0.008490      0.012296      0.387415
 1464      0.008805      0.012880      0.402093
 1392      0.009744      0.013651      0.423877
 1310      0.010201      0.015518      0.434922
 1175      0.011100      0.017748      0.471169
 1031      0.013870      0.019992      0.497192
  918      0.015310      0.022260      0.516260
  824      0.020997      0.027200      0.534786
  744      0.027780      0.034257      0.580946
  654      0.031484      0.036819      0.631510
  604      0.043059      0.046791      0.702693
  533      0.050100      0.053793      0.792791
  474      0.054439      0.057895      0.846163
  362      0.063817      0.068365      1.026823
  313      0.069489      0.076007      1.118160
  262      0.078407      0.088714      1.206831
