#            ACI         ACI+PT2         ACI
#Npar    Energy error  Energy error  Cumulant error
63504      0.000000      0.000000      0.000000
49214      0.000115      0.000015      0.019468
46294      0.000248      0.000048      0.029950
44102      0.000387      0.000088      0.040792
43566      0.000502      0.000105      0.045343
42930      0.000627      0.000127      0.049820
42494      0.000729      0.000130      0.053310
41914      0.000876      0.000176      0.057541
41254      0.001010      0.000211      0.062217
40854      0.001138      0.000238      0.065498
40454      0.001271      0.000272      0.069699
39610      0.001473      0.000373      0.082316
38974      0.001623      0.000423      0.089376
37870      0.001827      0.000527      0.098783
37094      0.002004      0.000605      0.110068
36894      0.002099      0.000600      0.112187
36174      0.002312      0.000712      0.121351
35798      0.002457      0.000757      0.126004
35214      0.002653      0.000853      0.134011
34918      0.002821      0.000921      0.138355
34454      0.002945      0.000945      0.145781
34134      0.003135      0.001035      0.149827
33854      0.003294      0.001095      0.153098
33574      0.003471      0.001172      0.156860
33494      0.003561      0.001162      0.158537
33334      0.003682      0.001182      0.161722
33174      0.003805      0.001205      0.164308
32694      0.004011      0.001312      0.171907
32454      0.004168      0.001369      0.176236
32294      0.004311      0.001412      0.180072
32214      0.004417      0.001417      0.181948
31814      0.004554      0.001455      0.189138
31294      0.004781      0.001581      0.199301
30894      0.004921      0.001622      0.206964
30734      0.005099      0.001700      0.211651
30590      0.005257      0.001782      0.215659
30544      0.005297      0.001794      0.216259
30494      0.005349      0.001809      0.217025
30434      0.005467      0.001835      0.218264
30398      0.005561      0.001856      0.219538
30258      0.005879      0.001945      0.227022
