#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
16476      0.000000      0.000000      0.000000
16306      0.000000      0.000001      0.000000
16206      0.000000      0.000001      0.001000
16026      0.000000      0.000001      0.001000
15846      0.000000      0.000001      0.001000
15616      0.000000      0.000001      0.001000
15468      0.000000      0.000001      0.001000
15202      0.000000      0.000001      0.001000
14986      0.000000      0.000001      0.001000
14628      0.000000      0.000001      0.001414
14492      0.000000      0.000002      0.001414
14206      0.000000      0.000002      0.001414
13750      0.000000      0.000002      0.001414
13526      0.000000      0.000002      0.001732
13130      0.000000      0.000002      0.001732
12748      0.000000      0.000003      0.002000
12331      0.000000      0.000003      0.002000
11953      0.000000      0.000003      0.002000
11674      0.000000      0.000003      0.002236
11220      0.000000      0.000004      0.002236
10760      0.000000      0.000004      0.002449
10374      0.000000      0.000005      0.002828
10074      0.000000      0.000006      0.003317
 9832      0.000001      0.000007      0.003742
 9506      0.000001      0.000008      0.003873
 9236      0.000001      0.000009      0.004243
 8866      0.000002      0.000011      0.004690
 8586      0.000002      0.000013      0.005099
 8339      0.000003      0.000015      0.005657
 7944      0.000003      0.000017      0.006325
 7758      0.000004      0.000020      0.007071
 7554      0.000005      0.000023      0.007937
 7182      0.000006      0.000024      0.008185
 6870      0.000006      0.000028      0.009165
 6556      0.000008      0.000032      0.010247
 6279      0.000009      0.000037      0.011402
 5996      0.000012      0.000043      0.012490
 5734      0.000016      0.000054      0.014799
 5412      0.000020      0.000063      0.015843
 5127      0.000025      0.000071      0.016912
 4893      0.000034      0.000084      0.017889
 4738      0.000041      0.000094      0.019647
 4616      0.000049      0.000108      0.020905
 4358      0.000055      0.000123      0.022293
 4238      0.000071      0.000147      0.026211
 3956      0.000084      0.000163      0.027641
 3742      0.000108      0.000193      0.030822
 3496      0.000127      0.000236      0.034161
 3268      0.000177      0.000311      0.039026
 3098      0.000218      0.000375      0.044159
 2910      0.000263      0.000438      0.048353
 2690      0.000358      0.000563      0.058472
 2474      0.000460      0.000686      0.064938
 2240      0.000585      0.000860      0.075934
 2036      0.000713      0.001062      0.089146
 1884      0.001003      0.001403      0.118802
 1681      0.001308      0.001858      0.153629
 1475      0.001828      0.002641      0.188141
 1302      0.002349      0.003423      0.225233
 1130      0.003024      0.004238      0.283494
