#          SVD-FCI       SVD-FCI
#Npar    Energy error  Cumulant error
127008     0.000000      0.000000
98280      0.000052      0.004583
93240      0.000109      0.006325
89712      0.000158      0.008485
86184      0.000193      0.011314
82656      0.000217      0.014177
79632      0.000242      0.016882
77112      0.000266      0.019183
75600      0.000309      0.020567
74592      0.000366      0.021307
73584      0.000441      0.022494
73080      0.000470      0.023000
72072      0.000538      0.024310
71568      0.000577      0.025080
70560      0.000643      0.027749
70056      0.000670      0.028373
69048      0.000720      0.029933
68544      0.000744      0.030676
68040      0.000776      0.031937
67536      0.000808      0.033211
67032      0.000857      0.033838
66024      0.000928      0.036510
65520      0.000975      0.037789
65016      0.001021      0.038794
64512      0.001067      0.039799
64008      0.001104      0.041857
63504      0.001134      0.045880
63504      0.001134      0.045880
63000      0.001193      0.046723
62496      0.001252      0.047560
61992      0.001303      0.048415
61488      0.001359      0.049315
60984      0.001416      0.050220
60984      0.001416      0.050220
60480      0.001482      0.051098
59976      0.001548      0.051971
59472      0.001599      0.053357
58968      0.001651      0.054745
58968      0.001651      0.054745
58464      0.001707      0.055570
57960      0.001760      0.056338
57456      0.001813      0.057114
57456      0.001813      0.057114
56952      0.001868      0.058327
56448      0.001922      0.059548
56448      0.001922      0.059548
55944      0.001978      0.060803
55440      0.002033      0.062056
55440      0.002033      0.062056
54936      0.002117      0.063687
54432      0.002201      0.065292
54432      0.002201      0.065292
53928      0.002269      0.067075
53928      0.002269      0.067075
53424      0.002336      0.068848
53424      0.002336      0.068848
52920      0.002408      0.070937
52920      0.002408      0.070937
52416      0.002469      0.072904
52416      0.002469      0.072904
51912      0.002531      0.074873
51912      0.002531      0.074873
51408      0.002605      0.077026
51408      0.002605      0.077026
50904      0.002680      0.079221
50904      0.002680      0.079221
50400      0.002755      0.081043
50400      0.002755      0.081043
50400      0.002755      0.081043
49896      0.002829      0.082879
49896      0.002829      0.082879
49392      0.002904      0.086087
49392      0.002904      0.086087
49392      0.002904      0.086087
48888      0.002979      0.089258
48888      0.002979      0.089258
48384      0.003043      0.091848
48384      0.003043      0.091848
48384      0.003043      0.091848
47880      0.003105      0.096078
47880      0.003105      0.096078
47376      0.003166      0.100180
47376      0.003166      0.100180
47376      0.003166      0.100180
46872      0.003229      0.103735
46872      0.003229      0.103735
46872      0.003229      0.103735
46368      0.003291      0.107238
46368      0.003291      0.107238
46368      0.003291      0.107238
45864      0.003434      0.109476
45864      0.003434      0.109476
45864      0.003434      0.109476
45360      0.003559      0.112143
45360      0.003559      0.112143
44856      0.003684      0.114778
44856      0.003684      0.114778
44856      0.003684      0.114778
44856      0.003684      0.114778
44352      0.003798      0.118186
44352      0.003798      0.118186
44352      0.003798      0.118186
44352      0.003798      0.118186
43848      0.003912      0.121606
43848      0.003912      0.121606
43848      0.003912      0.121606
43344      0.004029      0.127530
43344      0.004029      0.127530
43344      0.004029      0.127530
43344      0.004029      0.127530
42840      0.004145      0.133255
42840      0.004145      0.133255
42840      0.004145      0.133255
42336      0.004222      0.137237
42336      0.004222      0.137237
42336      0.004222      0.137237
42336      0.004222      0.137237
41832      0.004300      0.141216
41832      0.004300      0.141216
41832      0.004300      0.141216
41832      0.004300      0.141216
41832      0.004300      0.141216
41328      0.004362      0.146574
41328      0.004362      0.146574
41328      0.004362      0.146574
41328      0.004362      0.146574
41328      0.004362      0.146574
41328      0.004362      0.146574
40824      0.004618      0.149683
40824      0.004618      0.149683
40824      0.004618      0.149683
40824      0.004618      0.149683
40824      0.004618      0.149683
40824      0.004618      0.149683
40320      0.004854      0.151793
40320      0.004854      0.151793
40320      0.004854      0.151793
40320      0.004854      0.151793
40320      0.004854      0.151793
40320      0.004854      0.151793
39816      0.005091      0.153916
39816      0.005091      0.153916
39816      0.005091      0.153916
39816      0.005091      0.153916
39816      0.005091      0.153916
39816      0.005091      0.153916
39312      0.005326      0.156263
39312      0.005326      0.156263
39312      0.005326      0.156263
39312      0.005326      0.156263
39312      0.005326      0.156263
39312      0.005326      0.156263
38808      0.005561      0.158632
38808      0.005561      0.158632
38808      0.005561      0.158632
38808      0.005561      0.158632
38808      0.005561      0.158632
38808      0.005561      0.158632
38808      0.005561      0.158632
38304      0.005750      0.166865
38304      0.005750      0.166865
38304      0.005750      0.166865
38304      0.005750      0.166865
38304      0.005750      0.166865
38304      0.005750      0.166865
38304      0.005750      0.166865
38304      0.005750      0.166865
37800      0.006106      0.169112
37800      0.006106      0.169112
37800      0.006106      0.169112
37800      0.006106      0.169112
37800      0.006106      0.169112
37800      0.006106      0.169112
37800      0.006106      0.169112
37800      0.006106      0.169112
37800      0.006106      0.169112
37296      0.006492      0.172160
37296      0.006492      0.172160
37296      0.006492      0.172160
37296      0.006492      0.172160
37296      0.006492      0.172160
37296      0.006492      0.172160
37296      0.006492      0.172160
37296      0.006492      0.172160
37296      0.006492      0.172160
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36792      0.006879      0.175234
36288      0.007308      0.178614
36288      0.007308      0.178614
36288      0.007308      0.178614
36288      0.007308      0.178614
