#           ap-sCI        ap-sCI
#Npar    Energy error  Cumulant error
63504      0.000000      0.000000
48806      0.000058      0.006633
46538      0.000112      0.010050
45090      0.000162      0.013229
44012      0.000209      0.015460
43112      0.000258      0.017776
42344      0.000307      0.019748
41674      0.000354      0.020761
41074      0.000406      0.022113
40544      0.000455      0.023431
40054      0.000503      0.025000
39604      0.000554      0.026476
39184      0.000594      0.027477
38796      0.000640      0.028758
38434      0.000686      0.029749
38096      0.000729      0.031064
37786      0.000777      0.032265
37486      0.000822      0.033377
37196      0.000862      0.034612
36928      0.000907      0.035889
36682      0.000946      0.036892
36450      0.000990      0.037736
36230      0.001033      0.039154
36014      0.001076      0.040435
35806      0.001122      0.042036
35600      0.001162      0.042732
35402      0.001203      0.043623
35210      0.001243      0.044238
35032      0.001286      0.045255
34860      0.001336      0.046065
34690      0.001385      0.046979
34524      0.001443      0.047833
34364      0.001479      0.049071
34208      0.001524      0.049709
34054      0.001567      0.050705
33906      0.001612      0.051488
33760      0.001645      0.052058
33614      0.001691      0.052906
33472      0.001730      0.053619
33332      0.001784      0.054443
33198      0.001833      0.055145
33062      0.001872      0.056098
32932      0.001910      0.057158
32802      0.001948      0.057680
32676      0.001979      0.058198
32556      0.002026      0.058762
32438      0.002071      0.059699
32324      0.002109      0.061294
32212      0.002152      0.061822
32102      0.002191      0.062322
31992      0.002229      0.063238
31886      0.002277      0.063616
31778      0.002301      0.064211
31674      0.002340      0.064661
31570      0.002373      0.065345
31470      0.002429      0.065932
31370      0.002461      0.066641
31270      0.002510      0.066993
31174      0.002551      0.067779
31078      0.002591      0.068564
30982      0.002623      0.069405
30888      0.002672      0.069793
30794      0.002708      0.070314
30700      0.002739      0.071176
30610      0.002780      0.071582
30522      0.002822      0.072374
30434      0.002865      0.072863
30348      0.002919      0.073376
30264      0.002961      0.074135
30178      0.002999      0.074572
30096      0.003053      0.074920
30014      0.003101      0.075100
29934      0.003134      0.075492
29856      0.003172      0.076079
29778      0.003199      0.076518
29702      0.003245      0.077097
29626      0.003301      0.077653
29552      0.003330      0.078282
29480      0.003359      0.080349
29406      0.003386      0.081823
29334      0.003418      0.082432
29260      0.003456      0.083048
29188      0.003491      0.083385
29116      0.003505      0.083988
29046      0.003534      0.084841
28976      0.003574      0.085088
28908      0.003601      0.085767
28840      0.003631      0.086833
28774      0.003683      0.087109
28708      0.003733      0.087487
28642      0.003777      0.087841
28576      0.003830      0.088193
28512      0.003876      0.088854
28446      0.003920      0.089196
28382      0.003960      0.089722
28318      0.004010      0.089994
28256      0.004071      0.090427
28194      0.004126      0.090885
28132      0.004173      0.091214
28070      0.004215      0.092331
28010      0.004238      0.093107
27948      0.004290      0.093504
27888      0.004341      0.094058
27830      0.004372      0.094578
27770      0.004393      0.095347
27714      0.004431      0.095927
27656      0.004468      0.096317
27600      0.004506      0.096850
27542      0.004556      0.097509
27486      0.004611      0.097847
27430      0.004656      0.097990
27374      0.004706      0.098295
27320      0.004741      0.099504
27264      0.004782      0.100020
27210      0.004819      0.100509
27154      0.004869      0.100985
27100      0.004898      0.101597
27046      0.004932      0.102152
26992      0.004956      0.102781
26940      0.004998      0.103228
26886      0.005045      0.103600
26834      0.005077      0.104752
26780      0.005115      0.105152
26730      0.005138      0.105551
26678      0.005171      0.105858
26626      0.005227      0.106061
26576      0.005269      0.106400
26526      0.005307      0.106822
26476      0.005345      0.107177
26426      0.005393      0.107596
26378      0.005430      0.108236
26328      0.005466      0.108490
26280      0.005501      0.108738
26232      0.005539      0.109316
26182      0.005587      0.109745
26134      0.005617      0.110077
26086      0.005650      0.110186
26038      0.005677      0.110531
25992      0.005724      0.110887
25944      0.005762      0.111234
25896      0.005797      0.111862
25850      0.005830      0.112259
25802      0.005871      0.112383
25756      0.005909      0.112708
25710      0.005953      0.112942
25664      0.005989      0.113741
25618      0.006021      0.114525
25572      0.006056      0.114800
25528      0.006082      0.114996
25483      0.006100      0.115287
25438      0.006144      0.115707
25394      0.006164      0.116039
25350      0.006197      0.116456
25306      0.006242      0.116756
25262      0.006287      0.117081
25220      0.006328      0.117648
25178      0.006383      0.118025
25136      0.006420      0.118338
25094      0.006480      0.118634
25054      0.006529      0.119202
25012      0.006586      0.119583
24972      0.006627      0.120212
24930      0.006665      0.120979
24890      0.006703      0.121272
24850      0.006731      0.121561
24810      0.006781      0.121893
24770      0.006832      0.122233
24730      0.006882      0.122630
24692      0.006922      0.123053
24652      0.006942      0.123479
24614      0.006966      0.123875
24576      0.007003      0.124153
24538      0.007033      0.124455
24500      0.007077      0.124800
24462      0.007099      0.125531
24424      0.007143      0.125797
24386      0.007171      0.126230
24350      0.007192      0.126724
24312      0.007238      0.127024
24274      0.007280      0.127373
24238      0.007313      0.127652
24200      0.007357      0.128086
24164      0.007407      0.128468
24128      0.007448      0.128771
24090      0.007481      0.129337
24054      0.007516      0.130219
24018      0.007568      0.130537
23982      0.007615      0.130828
23946      0.007662      0.131141
23910      0.007696      0.131377
23874      0.007726      0.132454
23838      0.007776      0.132944
23802      0.007824      0.133244
23768      0.007870      0.133574
23732      0.007923      0.133903
23696      0.007970      0.134257
23660      0.008016      0.134640
23626      0.008045      0.135056
23590      0.008079      0.135458
23556      0.008108      0.135676
