#            ACI         ACI+PT2         ACI
#Npar    Energy error  Energy error  Cumulant error
15912      0.000000      0.000000      0.000000
14380      0.000101      0.000001      0.003162
13712      0.000199     -0.000001      0.005745
13122      0.000309      0.000009      0.008544
12667      0.000419      0.000019      0.011045
12248      0.000538      0.000038      0.013856
11982      0.000634      0.000035      0.016093
11614      0.000765      0.000065      0.019000
11414      0.000853      0.000053      0.020785
11122      0.000966      0.000066      0.023281
10946      0.001043      0.000044      0.024759
10751      0.001161      0.000061      0.026796
10535      0.001280      0.000081      0.029462
10313      0.001407      0.000107      0.032542
10185      0.001486      0.000086      0.033601
 9819      0.001637      0.000138      0.036742
 9658      0.001742      0.000142      0.038781
 9521      0.001850      0.000150      0.040435
 9378      0.001931      0.000132      0.042356
 9204      0.002074      0.000175      0.044811
 9063      0.002191      0.000192      0.047149
 8798      0.002368      0.000268      0.050557
 8492      0.002553      0.000354      0.054231
 8177      0.002774      0.000474      0.058189
 7948      0.002952      0.000554      0.061571
 7807      0.003105      0.000606      0.064366
 7712      0.003198      0.000600      0.064846
 7505      0.003375      0.000675      0.067823
 7396      0.003505      0.000705      0.069714
 7292      0.003647      0.000748      0.072208
 7209      0.003763      0.000764      0.074034
 7163      0.003833      0.000733      0.075286
 7040      0.004015      0.000817      0.078804
 6895      0.004192      0.000892      0.081731
 6864      0.004249      0.000850      0.082553
 6780      0.004363      0.000865      0.084564
 6647      0.004550      0.000952      0.088904
 6591      0.004656      0.000958      0.091285
 6549      0.004765      0.000966      0.093107
 6468      0.004891      0.000992      0.094387
 6415      0.005012      0.001012      0.097345
