#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
 9773      0.000000      0.000000      0.000000
 9739      0.000000      0.000001      0.000000
 9663      0.000000      0.000001      0.000000
 9639      0.000000      0.000001      0.000000
 9556      0.000000      0.000002      0.000000
 9485      0.000000      0.000002      0.000000
 9419      0.000000      0.000003      0.000000
 9383      0.000000      0.000004      0.000000
 9280      0.000000      0.000005      0.000000
 9246      0.000000      0.000005      0.000000
 9168      0.000000      0.000006      0.000000
 9144      0.000000      0.000009      0.000000
 9064      0.000000      0.000010      0.000000
 9000      0.000000      0.000013      0.000000
 8946      0.000000      0.000016      0.000000
 8888      0.000000      0.000018      0.001000
 8880      0.000000      0.000023      0.001000
 8822      0.000000      0.000026      0.001000
 8811      0.000000      0.000030      0.001000
 8761      0.000000      0.000031      0.001000
 8717      0.000000      0.000036      0.001414
 8663      0.000000      0.000039      0.001414
 8560      0.000000      0.000042      0.001414
 8510      0.000000      0.000048      0.001732
 8474      0.000000      0.000056      0.002236
 8428      0.000000      0.000060      0.002236
 8390      0.000000      0.000071      0.002449
 8351      0.000000      0.000080      0.002828
 8273      0.000000      0.000087      0.003000
 8211      0.000000      0.000093      0.003317
 8128      0.000000      0.000102      0.003606
 8052      0.000000      0.000109      0.003873
 7948      0.000000      0.000117      0.004243
 7904      0.000000      0.000135      0.004583
 7826      0.000000      0.000141      0.004899
 7802      0.000000      0.000147      0.005099
 7729      0.000000      0.000158      0.005477
 7681      0.000000      0.000180      0.006000
 7645      0.000000      0.000199      0.006481
 7609      0.000000      0.000217      0.006928
 7545      0.000000      0.000244      0.007874
 7488      0.000000      0.000287      0.008775
 7404      0.000000      0.000313      0.009000
 7346      0.000000      0.000329      0.009695
 7308      0.000000      0.000367      0.010677
 7244      0.000000      0.000418      0.011958
 7153      0.000000      0.000459      0.012610
 7115      0.000000      0.000513      0.013638
 7081      0.000000      0.000561      0.014765
 7021      0.000000      0.000599      0.015748
 6937      0.000000      0.000648      0.016310
 6875      0.000000      0.000684      0.017088
 6733      0.000000      0.000737      0.017804
 6630      0.000000      0.000797      0.018947
 6494      0.000000      0.000906      0.020372
 6334      0.000041      0.000987      0.022068
 6216      0.000064      0.001088      0.023685
 6082      0.000078      0.001171      0.025357
 5980      0.000113      0.001244      0.026981
 5859      0.000162      0.001323      0.028931
 5724      0.000195      0.001402      0.031937
 5569      0.000232      0.001483      0.033645
 5418      0.000260      0.001622      0.036661
 5330      0.000284      0.001747      0.039661
 5180      0.000328      0.001856      0.042285
 5084      0.000381      0.002102      0.047392
 4953      0.000432      0.002295      0.050498
 4804      0.000488      0.002553      0.055785
 4640      0.000593      0.002714      0.060390
 4513      0.000696      0.002895      0.064599
 4363      0.000826      0.003068      0.069080
 4218      0.001034      0.003316      0.073716
 4136      0.001098      0.003565      0.078696
 4045      0.001397      0.003817      0.089017
 3899      0.001468      0.004227      0.095572
 3818      0.001625      0.004511      0.104417
 3698      0.001793      0.004882      0.106892
 3626      0.001887      0.005054      0.111700
 3492      0.002294      0.005537      0.126115
 3383      0.002558      0.005934      0.135706
 3316      0.002777      0.006388      0.148714
 3186      0.002981      0.006974      0.161935
 3029      0.003141      0.007030      0.162395
 2907      0.003454      0.007562      0.171779
 2843      0.003880      0.008562      0.179466
 2689      0.004449      0.009201      0.188112
 2575      0.004832      0.010062      0.198970
 2461      0.005121      0.010380      0.204441
 2346      0.006073      0.011449      0.214266
 2213      0.006708      0.012185      0.225182
 2155      0.007270      0.013964      0.226049
 1972      0.008603      0.014288      0.241537
 1866      0.009883      0.015538      0.319174
 1780      0.011339      0.016934      0.275380
 1671      0.013197      0.018379      0.320925
 1645      0.015017      0.019995      0.339230
 1576      0.016371      0.021070      0.329948
 1461      0.018123      0.022592      0.362275
 1330      0.018929      0.023803      0.375811
 1243      0.019627      0.025161      0.394505
 1138      0.020521      0.026712      0.413792
 1085      0.022367      0.029702      0.427787
  920      0.024455      0.031750      0.454041
  818      0.028364      0.035744      0.493618
  724      0.031161      0.039083      0.557888
  612      0.035010      0.042449      0.568540
  528      0.042616      0.047948      0.616737
  411      0.052339      0.056591      0.782147
  326      0.062516      0.068969      0.917530
  242      0.070460      0.076490      1.024659
