#            ACI         ACI+PT2         ACI
#Npar    Energy error  Energy error  Cumulant error
58856      0.000116      0.000016      0.009220
57790      0.000233      0.000033      0.015100
57020      0.000351      0.000051      0.020248
56344      0.000477      0.000077      0.024083
55858      0.000588      0.000088      0.028844
55368      0.000711      0.000111      0.033734
54954      0.000831      0.000131      0.036946
54466      0.000988      0.000188      0.041061
54157      0.001109      0.000209      0.043726
53856      0.001219      0.000219      0.046765
53442      0.001373      0.000274      0.051049
52800      0.001657      0.000357      0.056771
52496      0.001801      0.000402      0.060233
52232      0.001936      0.000436      0.063443
52012      0.002057      0.000457      0.066798
51798      0.002185      0.000486      0.069477
51558      0.002311      0.000511      0.072014
51284      0.002482      0.000583      0.075286
51052      0.002615      0.000616      0.077647
50798      0.002771      0.000672      0.082492
50512      0.002932      0.000732      0.086116
50318      0.003079      0.000779      0.090139
50116      0.003219      0.000819      0.092499
49904      0.003390      0.000891      0.096167
49708      0.003546      0.000947      0.098184
49540      0.003706      0.001006      0.100638
49404      0.003841      0.001042      0.102825
49300      0.003961      0.001062      0.104489
49182      0.004090      0.001091      0.106207
49046      0.004230      0.001131      0.108729
48950      0.004346      0.001147      0.110625
48848      0.004464      0.001164      0.112205
48688      0.004625      0.001226      0.115373
48475      0.004804      0.001304      0.118895
48332      0.004954      0.001355      0.121375
48208      0.005077      0.001379      0.123903
48042      0.005247      0.001447      0.126953
47859      0.005415      0.001517      0.130273
47754      0.005550      0.001550      0.131799
