#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
41308      0.000000      0.000000      0.000001
41128      0.000000      0.000000      0.000001
40968      0.000000      0.000000      0.000001
40948      0.000000      0.000000      0.000001
40748      0.000000      0.000000      0.000001
40688      0.000000      0.000000      0.000001
40668      0.000000      0.000000      0.000001
40508      0.000000      0.000000      0.000001
40328      0.000000      0.000000      0.000001
40168      0.000000      0.000000      0.000001
39918      0.000000      0.000000      0.000001
39798      0.000000      0.000000      0.000001
39688      0.000000      0.000000      0.000001
39448      0.000000      0.000000      0.000000
39288      0.000000      0.000000      0.000000
39090      0.000000      0.000000      0.000001
38890      0.000000      0.000000      0.000001
38660      0.000000      0.000000      0.000001
38550      0.000000      0.000000      0.000001
38500      0.000000      0.000000      0.000002
38390      0.000000      0.000000      0.000002
38200      0.000000      0.000000      0.000002
37950      0.000000      0.000000      0.000002
37890      0.000000      0.000000      0.000002
37690      0.000000      0.000000      0.000002
37530      0.000000      0.000000      0.000002
37280      0.000000      0.000000      0.000002
37170      0.000000      0.000000      0.000003
37080      0.000000      0.000000      0.000003
36850      0.000000      0.000000      0.000003
36650      0.000000      0.000000      0.000003
36470      0.000000      0.000000      0.000003
36360      0.000000      0.000000      0.000004
36260      0.000000      0.000000      0.000004
36150      0.000000      0.000000      0.000004
35970      0.000000      0.000000      0.000004
35832      0.000000      0.000000      0.000004
35532      0.000000      0.000000      0.000004
35492      0.000000      0.000000      0.000005
35472      0.000000      0.000000      0.000007
35272      0.000000      0.000000      0.000007
35042      0.000000      0.000000      0.000007
34932      0.000000      0.000000      0.000007
34812      0.000000      0.000000      0.000007
34642      0.000000      0.000000      0.000007
34412      0.000000      0.000000      0.000008
34212      0.000000      0.000000      0.000008
34172      0.000000      0.000000      0.000009
33972      0.000000      0.000000      0.000009
33792      0.000000      0.000000      0.000010
33612      0.000000      0.000000      0.000010
33464      0.000000      0.000000      0.000010
33284      0.000000      0.000000      0.000011
33114      0.000000      0.000000      0.000011
33004      0.000000      0.000000      0.000011
32894      0.000000      0.000000      0.000012
32704      0.000000      0.000000      0.000012
32556      0.000000      0.000000      0.000013
32496      0.000000      0.000000      0.000014
32428      0.000000      0.000000      0.000018
32258      0.000000      0.000000      0.000021
32058      0.000000      0.000000      0.000022
31828      0.000000      0.000000      0.000021
31658      0.000000      0.000000      0.000022
31418      0.000000      0.000000      0.000023
31238      0.000000      0.000000      0.000024
31058      0.000000      0.000000      0.000026
30898      0.000000      0.000000      0.000026
30858      0.000000      0.000000      0.000034
30698      0.000000      0.000000      0.000038
30398      0.000000      0.000000      0.000038
30168      0.000000      0.000000      0.000039
29988      0.000000      0.000000      0.000039
29798      0.000000      0.000000      0.000041
29558      0.000000      0.000000      0.000043
29308      0.000000      0.000000      0.000043
29128      0.000000      0.000000      0.000045
28898      0.000000      0.000000      0.000047
28858      0.000000      0.000000      0.000050
28710      0.000000      0.000000      0.000053
28520      0.000000      0.000000      0.000054
28400      0.000000      0.000000      0.000056
28220      0.000000      0.000000      0.000057
28020      0.000000      0.000000      0.000059
27980      0.000000      0.000000      0.000063
27852      0.000000      0.000000      0.000064
27692      0.000000      0.000000      0.000070
27522      0.000000      0.000000      0.000078
27282      0.000000      0.000000      0.000081
27262      0.000000      0.000000      0.000085
27102      0.000000      0.000000      0.000097
26902      0.000000      0.000000      0.000098
26702      0.000000      0.000000      0.000100
26472      0.000000      0.000000      0.000110
26242      0.000000      0.000000      0.000123
26104      0.000000      0.000000      0.000131
25914      0.000000      0.000000      0.000141
25724      0.000000      0.000000      0.000147
25534      0.000000      0.000000      0.000154
25284      0.000000      0.000000      0.000157
25224      0.000000      0.000000      0.000155
24984      0.000000      0.000000      0.000163
24744      0.000000      0.000000      0.000169
24564      0.000000      0.000000      0.000181
24496      0.000000      0.000000      0.000189
24376      0.000000      0.000000      0.000196
24196      0.000000      0.000000      0.000205
24106      0.000000      0.000000      0.000220
23946      0.000000      0.000001      0.000233
23696      0.000000      0.000001      0.000238
23446      0.000000      0.000001      0.000248
23386      0.000000      0.000001      0.000252
23206      0.000000      0.000001      0.000258
23046      0.000000      0.000001      0.000286
22866      0.000000      0.000001      0.000292
22668      0.000000      0.000001      0.000301
22468      0.000000      0.000001      0.000307
22308      0.000000      0.000001      0.000337
22068      0.000000      0.000001      0.000360
21878      0.000000      0.000001      0.000376
21758      0.000000      0.000001      0.000409
21648      0.000000      0.000001      0.000454
21478      0.000000      0.000002      0.000478
21248      0.000000      0.000002      0.000513
21100      0.000000      0.000002      0.000537
20920      0.000000      0.000002      0.000563
20740      0.000000      0.000002      0.000595
20490      0.000000      0.000002      0.000620
20310      0.000000      0.000002      0.000650
20010      0.000000      0.000002      0.000686
19862      0.000000      0.000003      0.000723
19682      0.000000      0.000003      0.000747
19502      0.000000      0.000003      0.000779
19312      0.000000      0.000003      0.000886
19072      0.000000      0.000004      0.000966
19032      0.000000      0.000004      0.001167
18732      0.000000      0.000005      0.001231
18482      0.000000      0.000005      0.001345
18292      0.000000      0.000005      0.001468
18122      0.000000      0.000006      0.001564
18022      0.000000      0.000007      0.001725
17954      0.000000      0.000008      0.001909
17754      0.000000      0.000008      0.001936
17574      0.000000      0.000009      0.002020
17374      0.000000      0.000009      0.002082
17214      0.000000      0.000010      0.002184
17154      0.000000      0.000010      0.002298
16914      0.000000      0.000011      0.002386
16674      0.000000      0.000012      0.002511
16654      0.000000      0.000013      0.002925
16474      0.000000      0.000015      0.003059
16304      0.000000      0.000016      0.003291
16236      0.000000      0.000018      0.003782
16176      0.000000      0.000019      0.003978
16156      0.000000      0.000020      0.004904
15856      0.000000      0.000021      0.004984
15718      0.000000      0.000024      0.005178
15460      0.000000      0.000026      0.005376
15258      0.000000      0.000028      0.005846
14975      0.000000      0.000031      0.006280
14565      0.000000      0.000033      0.006470
14250      0.000001      0.000036      0.006757
13928      0.000001      0.000038      0.007326
13438      0.000001      0.000040      0.007430
12942      0.000002      0.000044      0.007801
12712      0.000003      0.000048      0.008207
12364      0.000003      0.000053      0.008698
11992      0.000004      0.000061      0.009685
11856      0.000005      0.000074      0.010518
11548      0.000006      0.000084      0.011195
11070      0.000007      0.000090      0.011702
10620      0.000010      0.000101      0.012264
10366      0.000015      0.000110      0.013006
 9891      0.000018      0.000125      0.014510
 9517      0.000021      0.000142      0.015808
 9188      0.000025      0.000165      0.017653
 9054      0.000030      0.000190      0.020242
 8724      0.000035      0.000217      0.021910
 8330      0.000043      0.000233      0.022394
 8100      0.000053      0.000263      0.024143
 7679      0.000064      0.000293      0.025958
 7286      0.000083      0.000330      0.028824
 6960      0.000096      0.000370      0.030637
 6655      0.000115      0.000404      0.032547
 6342      0.000132      0.000437      0.034661
 6092      0.000176      0.000488      0.037680
 5944      0.000208      0.000587      0.044768
 5622      0.000252      0.000683      0.049695
 5376      0.000317      0.000792      0.055838
 5136      0.000389      0.000908      0.064473
 4958      0.000473      0.001064      0.074281
 4792      0.000582      0.001194      0.085644
 4585      0.000685      0.001314      0.095696
 4396      0.000831      0.001523      0.099895
 4192      0.001013      0.001851      0.116490
 3905      0.001138      0.002110      0.127112
 3677      0.001358      0.002446      0.148114
 3509      0.001658      0.002696      0.158258
 3282      0.001747      0.002916      0.164444
 3090      0.002166      0.003346      0.193546
 2949      0.002621      0.003764      0.230138
 2760      0.003276      0.004371      0.241760
 2581      0.003620      0.004947      0.245327
 2345      0.004295      0.005767      0.273573
 2129      0.005057      0.006786      0.288334
 1896      0.006217      0.008163      0.317937
 1678      0.007584      0.010150      0.345383
 1464      0.008928      0.012554      0.393356
 1261      0.011357      0.015331      0.454286
 1028      0.014641      0.018848      0.499076
