#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
24106      0.000000      0.000000      0.000000
23946      0.000000      0.000001      0.000000
23696      0.000000      0.000001      0.000000
23446      0.000000      0.000001      0.000000
23386      0.000000      0.000001      0.000000
23206      0.000000      0.000001      0.000000
23046      0.000000      0.000001      0.000000
22866      0.000000      0.000001      0.000000
22668      0.000000      0.000001      0.000000
22468      0.000000      0.000001      0.000000
22308      0.000000      0.000001      0.000000
22068      0.000000      0.000001      0.000000
21878      0.000000      0.000001      0.000000
21758      0.000000      0.000001      0.000000
21648      0.000000      0.000001      0.000000
21478      0.000000      0.000002      0.000000
21248      0.000000      0.000002      0.000000
21100      0.000000      0.000002      0.000000
20920      0.000000      0.000002      0.000000
20740      0.000000      0.000002      0.000000
20490      0.000000      0.000002      0.000000
20310      0.000000      0.000002      0.000000
20010      0.000000      0.000002      0.000000
19862      0.000000      0.000003      0.001000
19682      0.000000      0.000003      0.001000
19502      0.000000      0.000003      0.001000
19312      0.000000      0.000003      0.001000
19072      0.000000      0.000004      0.001000
19032      0.000000      0.000004      0.001000
18732      0.000000      0.000005      0.001414
18482      0.000000      0.000005      0.001414
18292      0.000000      0.000005      0.001414
18122      0.000000      0.000006      0.001414
18022      0.000000      0.000007      0.001732
17954      0.000000      0.000008      0.002000
17754      0.000000      0.000008      0.002000
17574      0.000000      0.000009      0.002000
17374      0.000000      0.000009      0.002000
17214      0.000000      0.000010      0.002236
17154      0.000000      0.000010      0.002236
16914      0.000000      0.000011      0.002449
16674      0.000000      0.000012      0.002449
16654      0.000000      0.000013      0.003000
16474      0.000000      0.000015      0.003000
16304      0.000000      0.000016      0.003317
16236      0.000000      0.000018      0.003742
16176      0.000000      0.000019      0.004000
16156      0.000000      0.000020      0.004899
15856      0.000000      0.000021      0.005000
15718      0.000000      0.000024      0.005196
15385      0.000000      0.000026      0.005385
15176      0.000000      0.000030      0.005916
14852      0.000000      0.000034      0.006403
14464      0.000005      0.000038      0.006708
14106      0.000007      0.000042      0.007071
13804      0.000011      0.000047      0.007937
13382      0.000014      0.000052      0.008185
12916      0.000019      0.000060      0.008660
12670      0.000023      0.000068      0.009592
12282      0.000029      0.000078      0.010344
11862      0.000038      0.000094      0.011747
11594      0.000051      0.000112      0.012649
11184      0.000059      0.000124      0.013964
10979      0.000070      0.000149      0.015199
10547      0.000083      0.000166      0.016186
10199      0.000097      0.000186      0.017607
 9772      0.000119      0.000221      0.021213
 9459      0.000135      0.000260      0.024372
 9149      0.000157      0.000297      0.026230
 8964      0.000181      0.000347      0.029917
 8597      0.000206      0.000401      0.032833
 8227      0.000224      0.000443      0.034684
 8005      0.000244      0.000507      0.041593
 7595      0.000271      0.000574      0.045022
 7277      0.000297      0.000652      0.049709
 6847      0.000324      0.000740      0.053600
 6595      0.000353      0.000853      0.058301
 6270      0.000396      0.001003      0.063103
 6057      0.000456      0.001205      0.077071
 5870      0.000524      0.001363      0.085814
 5558      0.000603      0.001586      0.096089
 5343      0.000683      0.001802      0.101828
 5072      0.000776      0.002154      0.116443
 4904      0.000870      0.002469      0.122699
 4657      0.000981      0.002835      0.130759
 4482      0.001080      0.003231      0.150340
 4275      0.001269      0.003806      0.167042
 4017      0.001536      0.004347      0.183142
 3791      0.001813      0.005023      0.210288
 3548      0.002065      0.005669      0.236224
 3376      0.002297      0.006203      0.257717
 3183      0.002509      0.006889      0.272075
 3071      0.002841      0.007852      0.309600
 2909      0.003360      0.008646      0.323725
 2718      0.003799      0.009709      0.348984
 2515      0.004402      0.011282      0.404323
 2292      0.005464      0.013109      0.436117
 2084      0.006911      0.015572      0.474405
 1874      0.008993      0.018344      0.520997
 1674      0.013464      0.022779      0.600394
 1417      0.015618      0.026168      0.670461
 1228      0.019086      0.029848      0.728973
 1069      0.024617      0.036666      0.847507
