#            ACI         ACI+PT2         ACI
#Npar    Energy error  Energy error  Cumulant error
15912      0.000000      0.000000      0.001000
13600      0.000103      0.000003      0.006708
13019      0.000199     -0.000001      0.007874
12593      0.000291     -0.000009      0.008000
12159      0.000392     -0.000007      0.009798
11860      0.000478     -0.000022      0.013892
11410      0.000610      0.000010      0.016912
10977      0.000756      0.000056      0.021354
10775      0.000864      0.000064      0.020298
10519      0.000984      0.000084      0.024980
10425      0.001047      0.000047      0.022627
10179      0.001185      0.000086      0.025632
10009      0.001296      0.000096      0.026870
 9851      0.001399      0.000100      0.029034
 9611      0.001518      0.000118      0.032062
 9408      0.001663      0.000163      0.033823
 9236      0.001785      0.000185      0.036701
 9112      0.001901      0.000202      0.038458
 8882      0.002025      0.000226      0.041097
 8714      0.002166      0.000266      0.042837
 8525      0.002264      0.000264      0.044755
 8377      0.002414      0.000316      0.047823
 8247      0.002551      0.000353      0.049386
 8168      0.002659      0.000361      0.051245
 8012      0.002803      0.000405      0.053395
 7870      0.002955      0.000457      0.056276
 7850      0.003003      0.000404      0.056895
 7706      0.003168      0.000469      0.059498
 7630      0.003268      0.000470      0.080660
 7542      0.003393      0.000494      0.068535
 7406      0.003558      0.000560      0.070477
 7308      0.003699      0.000600      0.077569
 7096      0.003928      0.000731      0.079379
 6968      0.004073      0.000774      0.077091
 6834      0.004251      0.000854      0.083923
 6748      0.004413      0.000913      0.084741
 6668      0.004523      0.000924      0.086250
 6569      0.004675      0.000978      0.087715
 6537      0.004780      0.000983      0.087778
 6457      0.004902      0.001003      0.088764
 6376      0.005033      0.001036      0.091225
