#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
17205      0.000000      0.000000      0.000000
17183      0.000000      0.000001      0.000000
17057      0.000000      0.000001      0.000000
17033      0.000000      0.000001      0.000000
17001      0.000000      0.000002      0.000000
16883      0.000000      0.000002      0.000000
16852      0.000000      0.000003      0.000000
16756      0.000000      0.000004      0.000000
16600      0.000000      0.000004      0.000000
16468      0.000000      0.000005      0.000000
16355      0.000000      0.000006      0.000000
16253      0.000000      0.000007      0.000000
16109      0.000000      0.000008      0.000000
15962      0.000000      0.000011      0.001000
15830      0.000000      0.000013      0.001000
15738      0.000000      0.000015      0.001000
15600      0.000000      0.000017      0.001000
15411      0.000000      0.000019      0.001414
15273      0.000000      0.000021      0.001414
15147      0.000000      0.000025      0.002236
15003      0.000000      0.000029      0.002449
14923      0.000000      0.000038      0.002828
14841      0.000000      0.000047      0.003162
14747      0.000000      0.000053      0.003317
14663      0.000000      0.000058      0.003742
14536      0.000000      0.000071      0.004123
14398      0.000000      0.000077      0.004690
14304      0.000000      0.000091      0.005385
14169      0.000000      0.000098      0.007416
14013      0.000000      0.000103      0.007483
13887      0.000000      0.000117      0.007416
13749      0.000000      0.000127      0.007483
13623      0.000000      0.000145      0.008307
13521      0.000000      0.000169      0.009592
13402      0.000000      0.000198      0.011832
13310      0.000000      0.000211      0.013964
13172      0.000000      0.000225      0.015937
13016      0.000000      0.000236      0.017176
12869      0.000000      0.000275      0.017407
12779      0.000000      0.000304      0.016703
12644      0.000000      0.000323      0.017000
12542      0.000000      0.000336      0.018655
12448      0.000000      0.000379      0.015232
12408      0.000000      0.000425      0.014213
12237      0.000000      0.000459      0.016155
12093      0.000000      0.000500      0.015652
11979      0.000000      0.000547      0.016613
11757      0.000000      0.000590      0.018000
11619      0.000000      0.000631      0.018947
11487      0.000000      0.000710      0.020025
11361      0.000000      0.000791      0.020469
11190      0.000000      0.000845      0.022760
11076      0.000000      0.000920      0.024597
10968      0.000000      0.000962      0.025199
10791      0.000000      0.001042      0.026458
10569      0.000000      0.001175      0.029428
10290      0.000155      0.001270      0.032604
10109      0.000198      0.001506      0.031670
10001      0.000258      0.001610      0.039077
 9871      0.000312      0.001696      0.039509
 9675      0.000384      0.001873      0.041000
 9475      0.000490      0.002078      0.045255
 9233      0.000554      0.002265      0.048929
 9022      0.000682      0.002519      0.052173
 8816      0.000794      0.002674      0.054268
 8711      0.000960      0.003076      0.056824
 8512      0.001167      0.003332      0.061441
 8265      0.001368      0.003575      0.087556
 8138      0.001522      0.003829      0.079360
 7915      0.001767      0.004225      0.098392
 7682      0.002091      0.004738      0.104795
 7491      0.002336      0.005038      0.111212
 7258      0.002640      0.005431      0.118638
 7016      0.002935      0.005853      0.125308
 6847      0.003298      0.006484      0.169174
 6621      0.003566      0.006799      0.178059
 6421      0.003985      0.007337      0.190662
 6366      0.004306      0.008095      0.198368
 6075      0.004816      0.008424      0.205404
 5967      0.005399      0.008976      0.254112
 5721      0.006044      0.009568      0.275044
 5615      0.006549      0.010258      0.293539
 5479      0.007362      0.011270      0.234395
 5235      0.007949      0.012128      0.268460
 5163      0.009211      0.013335      0.315192
 4965      0.009905      0.014162      0.215325
 4702      0.011082      0.015348      0.396112
 4472      0.011596      0.016382      0.273009
 4249      0.012524      0.017178      0.387276
 3982      0.013329      0.018192      0.377174
 3767      0.014079      0.019122      0.475523
 3583      0.015461      0.021005      0.359482
 3283      0.016964      0.022017      0.478088
 3076      0.017668      0.023676      0.436266
 2870      0.019657      0.025323      0.470213
 2704      0.020508      0.026969      0.342262
 2574      0.021212      0.028419      0.343048
 2364      0.022153      0.030093      0.378636
 2187      0.026571      0.033111      0.406588
 1978      0.030675      0.037129      1.201001
 1830      0.031509      0.038938      1.165908
 1670      0.033637      0.043408      1.392586
 1486      0.037415      0.047507      1.614595
 1345      0.042531      0.052775      1.279367
 1202      0.046938      0.055503      1.086027
 1051      0.050068      0.064135      1.366385
  883      0.055814      0.069377      1.043819
  743      0.063845      0.078490      0.880288
  613      0.070050      0.091095      0.886089
  469      0.080391      0.100191      2.622433
  383      0.100624      0.124518      1.720614
