#          SVD-FCI       SVD-FCI
#Npar    Energy error  Cumulant error
63504      0.000000      0.000000
41580      0.000053      0.002646
38808      0.000111      0.004243
37044      0.000166      0.004123
35532      0.000220      0.005292
34272      0.000273      0.005477
33264      0.000322      0.006245
32508      0.000373      0.006633
31752      0.000433      0.006928
31248      0.000467      0.007416
30492      0.000521      0.007810
29988      0.000563      0.007937
29484      0.000610      0.008124
28980      0.000661      0.008367
28728      0.000690      0.008426
28224      0.000745      0.008602
27972      0.000773      0.008888
27468      0.000838      0.009220
27216      0.000866      0.009539
26712      0.000926      0.010050
26460      0.000951      0.010440
26208      0.000976      0.010770
25704      0.001039      0.011576
25452      0.001071      0.012000
25200      0.001106      0.013191
24948      0.001144      0.014353
24696      0.001189      0.014457
24696      0.001189      0.014457
24444      0.001265      0.015100
24192      0.001341      0.015811
24192      0.001341      0.015811
23940      0.001417      0.016401
23940      0.001417      0.016401
23688      0.001473      0.017720
23436      0.001528      0.018921
23436      0.001528      0.018921
23184      0.001602      0.019824
23184      0.001602      0.019824
22932      0.001702      0.020224
22932      0.001702      0.020224
22932      0.001702      0.020224
22680      0.001803      0.020664
22680      0.001803      0.020664
22428      0.001904      0.021095
22428      0.001904      0.021095
22176      0.001989      0.022428
22176      0.001989      0.022428
21924      0.002075      0.023728
21924      0.002075      0.023728
21672      0.002154      0.025159
21672      0.002154      0.025159
21672      0.002154      0.025159
21420      0.002234      0.026552
21420      0.002234      0.026552
21168      0.002314      0.027893
21168      0.002314      0.027893
20916      0.002420      0.028496
20916      0.002420      0.028496
20916      0.002420      0.028496
20664      0.002528      0.029069
20664      0.002528      0.029069
20412      0.002636      0.029648
20412      0.002636      0.029648
20412      0.002636      0.029648
20160      0.002778      0.030000
20160      0.002778      0.030000
20160      0.002778      0.030000
19908      0.002935      0.030265
19908      0.002935      0.030265
19908      0.002935      0.030265
19908      0.002935      0.030265
19656      0.003092      0.030529
19656      0.003092      0.030529
19656      0.003092      0.030529
19656      0.003092      0.030529
19404      0.003249      0.030838
19404      0.003249      0.030838
19404      0.003249      0.030838
19152      0.003387      0.032419
19152      0.003387      0.032419
19152      0.003387      0.032419
19152      0.003387      0.032419
18900      0.003525      0.034088
18900      0.003525      0.034088
18900      0.003525      0.034088
18900      0.003525      0.034088
18648      0.003666      0.035777
18648      0.003666      0.035777
18648      0.003666      0.035777
18648      0.003666      0.035777
18396      0.003792      0.037081
18396      0.003792      0.037081
18396      0.003792      0.037081
18396      0.003792      0.037081
18144      0.003919      0.038497
18144      0.003919      0.038497
18144      0.003919      0.038497
18144      0.003919      0.038497
17892      0.004049      0.039900
17892      0.004049      0.039900
17892      0.004049      0.039900
17892      0.004049      0.039900
17892      0.004049      0.039900
17892      0.004049      0.039900
17640      0.004303      0.040237
17640      0.004303      0.040237
17640      0.004303      0.040237
17640      0.004303      0.040237
17640      0.004303      0.040237
17640      0.004303      0.040237
17388      0.004536      0.041533
17388      0.004536      0.041533
17388      0.004536      0.041533
17388      0.004536      0.041533
17388      0.004536      0.041533
17388      0.004536      0.041533
17136      0.004769      0.042837
17136      0.004769      0.042837
17136      0.004769      0.042837
17136      0.004769      0.042837
17136      0.004769      0.042837
17136      0.004769      0.042837
17136      0.004769      0.042837
17136      0.004769      0.042837
16884      0.005024      0.044068
16884      0.005024      0.044068
16884      0.005024      0.044068
16884      0.005024      0.044068
16884      0.005024      0.044068
16884      0.005024      0.044068
16884      0.005024      0.044068
16632      0.005280      0.045343
16632      0.005280      0.045343
16632      0.005280      0.045343
16632      0.005280      0.045343
16632      0.005280      0.045343
16632      0.005280      0.045343
16632      0.005280      0.045343
16380      0.005536      0.046519
16380      0.005536      0.046519
16380      0.005536      0.046519
16380      0.005536      0.046519
16380      0.005536      0.046519
16380      0.005536      0.046519
16380      0.005536      0.046519
16128      0.005751      0.049528
16128      0.005751      0.049528
16128      0.005751      0.049528
16128      0.005751      0.049528
16128      0.005751      0.049528
16128      0.005751      0.049528
16128      0.005751      0.049528
16128      0.005751      0.049528
15876      0.005977      0.052564
15876      0.005977      0.052564
15876      0.005977      0.052564
15876      0.005977      0.052564
15876      0.005977      0.052564
15876      0.005977      0.052564
15876      0.005977      0.052564
15624      0.006204      0.055471
15624      0.006204      0.055471
15624      0.006204      0.055471
15624      0.006204      0.055471
15624      0.006204      0.055471
15624      0.006204      0.055471
15624      0.006204      0.055471
15624      0.006204      0.055471
15624      0.006204      0.055471
15372      0.006610      0.056798
15372      0.006610      0.056798
15372      0.006610      0.056798
15372      0.006610      0.056798
15372      0.006610      0.056798
15372      0.006610      0.056798
15372      0.006610      0.056798
15372      0.006610      0.056798
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
15120      0.007015      0.058207
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14868      0.007369      0.060787
14616      0.007724      0.063332
