#           ap-sCI        ap-sCI
#Npar    Energy error  Cumulant error
15223      0.000000      0.000000
11877      0.000061      0.001000
11131      0.000121      0.001414
10647      0.000181      0.002449
10295      0.000240      0.003000
10006      0.000299      0.003606
 9761      0.000355      0.004000
 9544      0.000414      0.004359
 9354      0.000470      0.004583
 9185      0.000523      0.004899
 9029      0.000580      0.005196
 8885      0.000634      0.005568
 8752      0.000687      0.005831
 8627      0.000741      0.006083
 8507      0.000795      0.006403
 8397      0.000849      0.006708
 8291      0.000903      0.007000
 8193      0.000953      0.007280
 8097      0.001001      0.007681
 8010      0.001054      0.008000
 7926      0.001101      0.008246
 7846      0.001150      0.008660
 7770      0.001198      0.009055
 7698      0.001251      0.009274
 7628      0.001303      0.009487
 7560      0.001346      0.009849
 7494      0.001395      0.010247
 7432      0.001440      0.010488
 7370      0.001494      0.010724
 7310      0.001540      0.011045
 7253      0.001584      0.011533
 7196      0.001625      0.011705
 7139      0.001676      0.012042
 7085      0.001723      0.012450
 7033      0.001769      0.013304
 6983      0.001810      0.013528
 6934      0.001859      0.013711
 6886      0.001908      0.013638
 6839      0.001955      0.013820
 6793      0.002002      0.014000
 6747      0.002046      0.014177
 6705      0.002093      0.014318
 6661      0.002143      0.014629
 6620      0.002191      0.014832
 6578      0.002239      0.015199
 6537      0.002287      0.015524
 6497      0.002329      0.015780
 6459      0.002371      0.016062
 6421      0.002423      0.016401
 6383      0.002468      0.016673
 6347      0.002512      0.016882
 6309      0.002563      0.017029
 6274      0.002610      0.017464
 6239      0.002653      0.017804
 6204      0.002701      0.017972
 6169      0.002747      0.018221
 6134      0.002790      0.018788
 6102      0.002836      0.019209
 6068      0.002884      0.019494
 6036      0.002932      0.019698
 6006      0.002969      0.019950
 5974      0.003020      0.020199
 5944      0.003066      0.020421
 5915      0.003112      0.020640
 5884      0.003163      0.020928
 5856      0.003208      0.021142
 5827      0.003257      0.021401
 5798      0.003305      0.021726
 5768      0.003355      0.022000
 5740      0.003396      0.022338
 5712      0.003447      0.022517
 5684      0.003492      0.022738
 5658      0.003526      0.022847
 5630      0.003565      0.023130
 5604      0.003608      0.023302
 5576      0.003661      0.023473
 5551      0.003706      0.023643
 5526      0.003749      0.023833
 5501      0.003790      0.024042
 5476      0.003834      0.024331
 5452      0.003877      0.024779
 5428      0.003927      0.025219
 5404      0.003971      0.025612
 5381      0.004016      0.025884
 5357      0.004058      0.026306
 5333      0.004102      0.026476
 5311      0.004141      0.026683
 5289      0.004178      0.027055
 5265      0.004224      0.027477
 5244      0.004266      0.027749
 5221      0.004310      0.028018
 5201      0.004354      0.028142
 5179      0.004401      0.028302
 5157      0.004440      0.028583
 5137      0.004481      0.028740
 5116      0.004525      0.028965
 5096      0.004570      0.029343
 5075      0.004617      0.029597
 5055      0.004651      0.029816
 5036      0.004690      0.030033
 5017      0.004732      0.030414
 4997      0.004776      0.030610
 4978      0.004828      0.030935
 4960      0.004877      0.031225
 4940      0.004922      0.031512
 4922      0.004967      0.031623
 4904      0.005014      0.031906
 4886      0.005048      0.032156
 4868      0.005082      0.032512
 4850      0.005124      0.032757
 4832      0.005151      0.033015
 4816      0.005185      0.033556
 4798      0.005215      0.033793
 4781      0.005253      0.034000
 4764      0.005293      0.034366
 4748      0.005333      0.034583
 4730      0.005386      0.034814
 4714      0.005424      0.035043
 4698      0.005460      0.035143
 4682      0.005500      0.035398
 4666      0.005537      0.035525
 4649      0.005578      0.035735
 4633      0.005614      0.035944
 4619      0.005661      0.036069
 4603      0.005703      0.036235
 4587      0.005755      0.036592
 4573      0.005801      0.036797
 4557      0.005836      0.037094
 4543      0.005868      0.037336
 4528      0.005915      0.037510
 4514      0.005951      0.037537
 4499      0.006004      0.037776
 4485      0.006054      0.038210
 4471      0.006091      0.038601
 4457      0.006130      0.038756
 4443      0.006159      0.038949
 4429      0.006199      0.039064
 4415      0.006245      0.039370
 4400      0.006294      0.039636
 4387      0.006334      0.039887
 4374      0.006367      0.040012
 4361      0.006402      0.040137
 4348      0.006433      0.040200
 4335      0.006464      0.040274
 4321      0.006502      0.040522
 4308      0.006552      0.040731
 4295      0.006595      0.041012
 4282      0.006638      0.041207
 4270      0.006680      0.041340
 4256      0.006722      0.041605
 4244      0.006770      0.041869
 4232      0.006813      0.042095
 4218      0.006861      0.043474
 4206      0.006896      0.043600
 4194      0.006928      0.043784
 4182      0.006961      0.043898
 4170      0.007000      0.044113
 4158      0.007042      0.044249
 4146      0.007081      0.044396
 4134      0.007118      0.044598
 4122      0.007157      0.044643
 4111      0.007196      0.044800
 4099      0.007228      0.045277
 4087      0.007271      0.045420
 4076      0.007309      0.045607
 4065      0.007340      0.045717
 4054      0.007390      0.045913
 4042      0.007444      0.046206
 4030      0.007483      0.046347
 4020      0.007517      0.046626
 4009      0.007548      0.046680
 3998      0.007568      0.046744
 3986      0.007615      0.046808
 3976      0.007649      0.046947
 3965      0.007689      0.047096
 3954      0.007729      0.047255
 3942      0.007761      0.047487
 3932      0.007794      0.047686
 3922      0.007833      0.047833
 3912      0.007871      0.047917
 3900      0.007903      0.048125
 3890      0.007941      0.048415
 3880      0.007980      0.049588
 3870      0.008019      0.049679
 3860      0.008054      0.050030
 3849      0.008101      0.050299
 3840      0.008139      0.050577
 3830      0.008185      0.050685
 3820      0.008221      0.050853
 3810      0.008257      0.051010
 3800      0.008294      0.051439
 3790      0.008331      0.051875
 3780      0.008371      0.052067
 3770      0.008404      0.052249
 3760      0.008436      0.052431
 3750      0.008481      0.052802
