#            ACI         ACI+PT2         ACI          ** => Alternate state
#Npar    Energy error  Energy error  Cumulant error
63504      0.026233      0.026233      3.627651 **
57582      0.000114      0.000014      0.008062
56530      0.000231      0.000031      0.021213
57884      0.000287     -0.000013      0.020591
55184      0.000471      0.000071      0.023664
54672      0.000602      0.000102      0.032326
54090      0.000745      0.000145      0.032031
55586      0.000778      0.000078      0.032357
53280      0.000984      0.000185      0.036469
52860      0.001112      0.000212      0.058232
52450      0.001255      0.000255      0.073986
52176      0.001372      0.000272      0.079649
51832      0.001510      0.000311      0.075822
51556      0.001612      0.000312      0.070697
51182      0.001753      0.000354      0.084374
50802      0.001901      0.000401      0.079404
50468      0.002057      0.000457      0.079987
50294      0.002158      0.000458      0.110874
50080      0.002261      0.000462      0.127279
49816      0.002391      0.000491      0.124322
49546      0.002566      0.000567      0.105081
49212      0.002749      0.000650      0.100200
48580      0.003253      0.001053      0.679032
48031      0.003608      0.001308      0.837827
47703      0.003774      0.001375      0.902285
48200      0.003377      0.000878      0.113384
47988      0.003515      0.000915      0.117333
47075      0.004244      0.001545      0.936447
46927      0.004363      0.001564      0.911830
46773      0.004469      0.001570      0.890175
41567      0.007396      0.004396      2.043353 **
46435      0.004769      0.001669      0.897969
46337      0.004869      0.001670      0.889227
46209      0.004967      0.001667      0.876207
39889      0.008436      0.005037      2.133716 **
39735      0.008545      0.005046      2.136060 **
39553      0.008684      0.005085      2.140897 **
39403      0.008845      0.005145      2.144952 **
39247      0.008992      0.005193      2.149176 **
39129      0.009119      0.005220      2.150215 **
41792      0.010085      0.006085      2.309220 **
