#            DMRG       DMRG (RDM)    DMRG (RDM)
#Npar    Energy error  Energy error  Cumulant error
42552      0.000000      0.000000      0.000000
42372      0.000000      0.000000      0.000001
42212      0.000000      0.000000      0.000001
42092      0.000000      0.000000      0.000001
41912      0.000000      0.000000      0.000001
41802      0.000000      0.000000      0.000000
41692      0.000000      0.000000      0.000001
41632      0.000000      0.000000      0.000000
41612      0.000000      0.000000      0.000001
41442      0.000000      0.000000      0.000000
41314      0.000000      0.000000      0.000001
41284      0.000000      0.000000      0.000000
41226      0.000000      0.000000      0.000001
41158      0.000000      0.000000      0.000001
41108      0.000000      0.000000      0.000001
41088      0.000000      0.000000      0.000000
40898      0.000000      0.000000      0.000002
40718      0.000000      0.000000      0.000002
40468      0.000000      0.000000      0.000003
40288      0.000000      0.000000      0.000003
40058      0.000000      0.000000      0.000003
39948      0.000000      0.000000      0.000004
39758      0.000000      0.000000      0.000004
39656      0.000000      0.000000      0.000005
39406      0.000000      0.000000      0.000005
39166      0.000000      0.000000      0.000005
39126      0.000000      0.000000      0.000007
39016      0.000000      0.000000      0.000007
38896      0.000000      0.000000      0.000007
38786      0.000000      0.000000      0.000007
38606      0.000000      0.000000      0.000007
38356      0.000000      0.000000      0.000007
38126      0.000000      0.000000      0.000009
37946      0.000000      0.000000      0.000009
37766      0.000000      0.000000      0.000009
37666      0.000000      0.000000      0.000018
37466      0.000000      0.000000      0.000019
37216      0.000000      0.000000      0.000018
37026      0.000000      0.000000      0.000021
36856      0.000000      0.000000      0.000022
36666      0.000000      0.000000      0.000024
36436      0.000000      0.000000      0.000024
36316      0.000000      0.000000      0.000036
36146      0.000000      0.000000      0.000037
35966      0.000000      0.000000      0.000036
35776      0.000000      0.000000      0.000044
35546      0.000000      0.000000      0.000044
35316      0.000000      0.000000      0.000046
35216      0.000000      0.000000      0.000052
35116      0.000000      0.000000      0.000081
34946      0.000000      0.000000      0.000093
34816      0.000000      0.000000      0.000096
34714      0.000000      0.000000      0.000097
34664      0.000000      0.000000      0.000104
34424      0.000000      0.000000      0.000109
34334      0.000000      0.000000      0.000214
34154      0.000000      0.000000      0.000221
33854      0.000000      0.000000      0.000221
33654      0.000000      0.000000      0.000218
33544      0.000000      0.000000      0.000224
33364      0.000000      0.000000      0.000228
33244      0.000000      0.000000      0.000236
33084      0.000000      0.000000      0.000241
32974      0.000000      0.000001      0.000264
32906      0.000000      0.000001      0.000308
32666      0.000000      0.000001      0.000301
32416      0.000000      0.000001      0.000301
32306      0.000000      0.000001      0.000316
32176      0.000000      0.000001      0.000353
32006      0.000000      0.000001      0.000416
31816      0.000000      0.000001      0.000428
31646      0.000000      0.000001      0.000447
31456      0.000000      0.000001      0.000470
31346      0.000000      0.000001      0.000485
31176      0.000000      0.000001      0.000487
30978      0.000000      0.000001      0.000532
30728      0.000000      0.000001      0.000533
30618      0.000000      0.000002      0.000550
30448      0.000000      0.000002      0.000595
30408      0.000000      0.000002      0.000827
30168      0.000000      0.000002      0.000848
29968      0.000000      0.000002      0.000853
29738      0.000000      0.000002      0.000880
29558      0.000000      0.000002      0.000898
29388      0.000000      0.000003      0.000936
29250      0.000000      0.000003      0.001029
29080      0.000000      0.000003      0.001019
28850      0.000000      0.000003      0.001052
28830      0.000000      0.000004      0.001079
28682      0.000000      0.000004      0.001305
28562      0.000000      0.000004      0.001394
28512      0.000000      0.000005      0.001422
28332      0.000000      0.000005      0.001552
28142      0.000000      0.000005      0.001538
27892      0.000000      0.000006      0.001603
27652      0.000000      0.000006      0.001639
27472      0.000000      0.000006      0.001651
27302      0.000000      0.000007      0.001667
27192      0.000000      0.000007      0.001767
27012      0.000000      0.000008      0.001864
26772      0.000000      0.000008      0.001960
26592      0.000000      0.000009      0.002327
26422      0.000000      0.000010      0.002507
26322      0.000000      0.000010      0.002412
26192      0.000000      0.000011      0.002419
25952      0.000000      0.000012      0.002447
25804      0.000000      0.000012      0.002567
25676      0.000000      0.000014      0.002639
25566      0.000000      0.000015      0.002915
25476      0.000000      0.000016      0.002785
25286      0.000000      0.000017      0.002904
25036      0.000000      0.000018      0.003002
24906      0.000000      0.000018      0.003041
24786      0.000000      0.000020      0.003793
24546      0.000000      0.000022      0.004156
24426      0.000000      0.000023      0.004415
24186      0.000000      0.000025      0.004741
24006      0.000000      0.000027      0.005064
23766      0.000000      0.000029      0.005104
23656      0.000000      0.000033      0.006045
23528      0.000000      0.000036      0.007480
23408      0.000000      0.000039      0.007687
23248      0.000000      0.000042      0.008944
23048      0.000000      0.000043      0.009017
22878      0.000000      0.000046      0.009457
22698      0.000000      0.000048      0.009549
22518      0.000000      0.000050      0.010200
22288      0.000000      0.000054      0.010540
22150      0.000000      0.000061      0.012712
21970      0.000000      0.000064      0.012497
21790      0.000000      0.000071      0.013149
21610      0.000000      0.000075      0.013567
21542      0.000000      0.000083      0.015964
21352      0.000000      0.000089      0.017188
21182      0.000000      0.000095      0.018012
20952      0.000000      0.000101      0.019222
20762      0.000000      0.000106      0.019064
20582      0.000000      0.000112      0.019185
20472      0.000000      0.000123      0.021403
20282      0.000000      0.000130      0.022119
20032      0.000000      0.000135      0.022592
19732      0.000000      0.000143      0.022946
19612      0.000000      0.000152      0.023198
19414      0.000000      0.000163      0.025354
19294      0.000000      0.000174      0.026072
19114      0.000000      0.000183      0.026630
19014      0.000000      0.000199      0.029215
18954      0.000000      0.000207      0.029753
18864      0.000000      0.000223      0.033459
18694      0.000000      0.000239      0.035303
18584      0.000000      0.000251      0.038839
18454      0.000000      0.000259      0.038578
18284      0.000000      0.000279      0.041844
18164      0.000000      0.000298      0.044144
17974      0.000000      0.000316      0.048202
17814      0.000000      0.000333      0.047391
17584      0.000000      0.000353      0.049764
17494      0.000000      0.000381      0.055747
17254      0.000000      0.000407      0.057093
17106      0.000000      0.000430      0.059631
16996      0.000000      0.000472      0.066750
16696      0.000000      0.000502      0.067713
16656      0.000000      0.000564      0.082420
16466      0.000000      0.000598      0.088561
16318      0.000000      0.000640      0.097385
16088      0.000000      0.000686      0.095360
15908      0.000000      0.000746      0.104778
15788      0.000000      0.000807      0.114109
15414      0.000000      0.000854      0.114281
15056      0.000000      0.000902      0.115623
14931      0.000000      0.000954      0.124289
14596      0.000037      0.001061      0.126407
14330      0.000049      0.001175      0.168435
13961      0.000072      0.001314      0.180141
13514      0.000088      0.001395      0.183275
13008      0.000115      0.001525      0.183257
12579      0.000166      0.001650      0.201119
12253      0.000209      0.001805      0.197813
11842      0.000321      0.001986      0.213805
11524      0.000401      0.002199      0.240958
11134      0.000462      0.002338      0.239508
10816      0.000596      0.002511      0.263281
10494      0.000709      0.002777      0.306922
10212      0.000767      0.003033      0.351679
 9868      0.000861      0.003268      0.392184
 9489      0.001025      0.003479      0.447548
 9104      0.001220      0.003722      0.465440
 8839      0.001243      0.003906      0.477723
 8662      0.001552      0.004255      0.587981
 8246      0.001705      0.004554      0.614323
 7993      0.002029      0.004893      0.828530
 7668      0.002335      0.005193      0.964534
 7373      0.002591      0.005424      1.034198
 7088      0.003046      0.005747      1.090313
 6732      0.003380      0.006139      1.150359
 6450      0.003709      0.006514      1.243964
 6120      0.003998      0.006850      1.352911
 5863      0.004302      0.007159      1.392064
 5631      0.004808      0.007442      1.515102
 5376      0.005395      0.008043      1.555292
 5083      0.006046      0.008509      1.664783
 4973      0.006397      0.009022      1.788037
 4750      0.007084      0.009442      1.816121
 4474      0.007474      0.009805      1.856515
 4312      0.007979      0.010594      1.886380
 4161      0.008441      0.011064      1.952730
