#          SVD-FCI       SVD-FCI
#Npar    Energy error  Cumulant error
127008     0.000000      0.000000
83160      0.000053      0.002646
77616      0.000111      0.004123
74088      0.000166      0.004123
71064      0.000220      0.005196
68544      0.000273      0.005477
66528      0.000322      0.006245
65016      0.000373      0.006633
63504      0.000433      0.006928
62496      0.000467      0.007416
60984      0.000521      0.007810
59976      0.000563      0.007937
58968      0.000610      0.008124
57960      0.000661      0.008367
57456      0.000690      0.008426
56448      0.000745      0.008602
55944      0.000778      0.008718
54936      0.000845      0.009055
54432      0.000872      0.009381
53424      0.000926      0.010050
52920      0.000951      0.010392
52416      0.000976      0.010770
51408      0.001039      0.011576
50904      0.001071      0.012000
50400      0.001106      0.013191
49896      0.001144      0.014353
49392      0.001189      0.014457
49392      0.001189      0.014457
48888      0.001265      0.015100
48384      0.001341      0.015780
47880      0.001417      0.016401
47880      0.001417      0.016401
47376      0.001473      0.017692
46872      0.001528      0.018921
46872      0.001528      0.018921
46368      0.001602      0.019824
46368      0.001602      0.019824
45864      0.001702      0.020224
45864      0.001702      0.020224
45864      0.001702      0.020224
45360      0.001803      0.020664
45360      0.001803      0.020664
44856      0.001904      0.021071
44856      0.001904      0.021071
44352      0.001989      0.022405
44352      0.001989      0.022405
43848      0.002075      0.023728
43848      0.002075      0.023728
43344      0.002154      0.025159
43344      0.002154      0.025159
43344      0.002154      0.025159
42840      0.002234      0.026533
42840      0.002234      0.026533
42336      0.002314      0.027893
42336      0.002314      0.027893
41832      0.002421      0.028478
41328      0.002528      0.029069
41328      0.002528      0.029069
40824      0.002636      0.029648
40824      0.002636      0.029648
40824      0.002636      0.029648
40320      0.002778      0.030000
40320      0.002778      0.030000
40320      0.002778      0.030000
39816      0.002935      0.030249
39816      0.002935      0.030249
39816      0.002935      0.030249
39816      0.002935      0.030249
39312      0.003092      0.030529
39312      0.003092      0.030529
39312      0.003092      0.030529
39312      0.003092      0.030529
38808      0.003249      0.030838
38808      0.003249      0.030838
38808      0.003249      0.030838
38304      0.003386      0.032419
38304      0.003386      0.032419
38304      0.003386      0.032419
38304      0.003386      0.032419
37800      0.003525      0.034073
37800      0.003525      0.034073
37800      0.003525      0.034073
37800      0.003525      0.034073
37296      0.003666      0.035777
37296      0.003666      0.035777
37296      0.003666      0.035777
37296      0.003666      0.035777
36792      0.003792      0.037068
36792      0.003792      0.037068
36792      0.003792      0.037068
36792      0.003792      0.037068
36288      0.003919      0.038458
36288      0.003919      0.038458
36288      0.003919      0.038458
36288      0.003919      0.038458
35784      0.004049      0.039900
35784      0.004049      0.039900
35784      0.004049      0.039900
35784      0.004049      0.039900
35784      0.004049      0.039900
35784      0.004049      0.039900
35280      0.004303      0.040237
35280      0.004303      0.040237
35280      0.004303      0.040237
35280      0.004303      0.040237
35280      0.004303      0.040237
35280      0.004303      0.040237
34776      0.004536      0.041533
34776      0.004536      0.041533
34776      0.004536      0.041533
34776      0.004536      0.041533
34776      0.004536      0.041533
34776      0.004536      0.041533
34272      0.004769      0.042837
34272      0.004769      0.042837
34272      0.004769      0.042837
34272      0.004769      0.042837
34272      0.004769      0.042837
34272      0.004769      0.042837
34272      0.004769      0.042837
34272      0.004769      0.042837
33768      0.005024      0.044068
33768      0.005024      0.044068
33768      0.005024      0.044068
33768      0.005024      0.044068
33768      0.005024      0.044068
33768      0.005024      0.044068
33768      0.005024      0.044068
33264      0.005280      0.045277
33264      0.005280      0.045277
33264      0.005280      0.045277
33264      0.005280      0.045277
33264      0.005280      0.045277
33264      0.005280      0.045277
33264      0.005280      0.045277
32760      0.005536      0.046519
32760      0.005536      0.046519
32760      0.005536      0.046519
32760      0.005536      0.046519
32760      0.005536      0.046519
32760      0.005536      0.046519
32760      0.005536      0.046519
32256      0.005752      0.049538
32256      0.005752      0.049538
32256      0.005752      0.049538
32256      0.005752      0.049538
32256      0.005752      0.049538
32256      0.005752      0.049538
32256      0.005752      0.049538
32256      0.005752      0.049538
31752      0.005977      0.052555
31752      0.005977      0.052555
31752      0.005977      0.052555
31752      0.005977      0.052555
31752      0.005977      0.052555
31752      0.005977      0.052555
31752      0.005977      0.052555
31248      0.006204      0.055471
31248      0.006204      0.055471
31248      0.006204      0.055471
31248      0.006204      0.055471
31248      0.006204      0.055471
31248      0.006204      0.055471
31248      0.006204      0.055471
31248      0.006204      0.055471
31248      0.006204      0.055471
30744      0.006610      0.056798
30744      0.006610      0.056798
30744      0.006610      0.056798
30744      0.006610      0.056798
30744      0.006610      0.056798
30744      0.006610      0.056798
30744      0.006610      0.056798
30744      0.006610      0.056798
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
30240      0.007015      0.058207
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29736      0.007369      0.060770
29232      0.007724      0.063348
